ED;ID;Estado
366;690;São Paulo
367;89;PE
368;152;BA
369;829;PE
370;574;Rio de Janeiro
371;389;RJ
372;969;BA
373;848;SP
374;669;SP
375;913;CE
376;609;Pernambuco
377;587;Minas Gerais
378;662;São Paulo
379;502;Pará
380;953;São Paulo
381;280;MG
382;987;São Paulo
383;919;Rio Grande do Sul
384;871;SP
385;957;BA
386;743;Minas Gerais
387;338;São Paulo
388;506;MG
389;309;SC
390;160;Rio Grande do Sul
391;305;MG
392;102;São Paulo
393;353;MA
394;189;São Paulo
395;616;PR
396;904;CE
397;605;Santa Catarina
398;62;SP
399;734;BA
400;205;São Paulo
401;109;São Paulo
402;654;MG
403;707;São Paulo
404;974;Pernambuco
405;741;Minas Gerais
406;908;PE
407;247;Bahia
408;243;Pernambuco
409;878;RS
410;841;Pará
411;881;BA
412;981;São Paulo
413;233;São Paulo
414;344;Minas Gerais
415;427;MG
416;348;RJ
417;670;SP
418;255;Pará
419;269;SP
420;510;São Paulo
421;24;BA
422;363;BA
423;487;SP
424;81;SP
425;962;CE
426;705;Minas Gerais
427;942;São Paulo
428;877;Bahia
429;421;PB
430;324;MG
431;874;Maranhão
432;285;Goiás
433;915;Pernambuco
434;368;Rio Grande do Sul
435;632;SP
436;251;PA
437;263;Minas Gerais
438;709;SP
439;907;PE
440;925;PR
441;141;SP
442;912;Rio Grande do Sul
443;313;MG
444;170;São Paulo
445;277;Maranhão
446;306;SP
447;132;Minas Gerais
448;842;Maranhão
449;749;Maranhão
450;622;Maranhão
451;932;Pará
452;367;SP
453;168;PA
454;122;MA
455;361;RS
456;484;Minas Gerais
457;528;MG
458;964;São Paulo
459;12;SP
460;695;Rio de Janeiro
461;534;RS
462;340;MG
463;17;Pernambuco
464;144;SC
465;232;CE
466;898;São Paulo
467;706;MA
468;711;SP
469;738;MA
470;914;Bahia
471;895;MA
472;917;Rio de Janeiro
473;541;PR
474;236;Rio de Janeiro
475;887;São Paulo
476;809;PR
477;343;São Paulo
478;151;SP
479;499;CE
480;866;PR
481;19;RJ
482;918;Bahia
483;454;RS
484;655;Paraná
485;433;PE
486;583;Rio Grande do Sul
487;440;Minas Gerais
488;415;Maranhão
489;203;BA
490;231;Rio de Janeiro
491;473;São Paulo
492;336;Rio Grande do Sul
493;710;São Paulo
494;873;Maranhão
495;51;São Paulo
496;699;RS
497;365;São Paulo
498;10;RS
499;736;Rio de Janeiro
500;844;Rio de Janeiro
501;290;São Paulo
502;612;MG
503;455;São Paulo
504;618;Pernambuco
505;752;Minas Gerais
506;250;PE
507;551;Bahia
508;668;Pernambuco
509;843;RS
510;417;Pará
511;701;BA
512;486;São Paulo
513;358;São Paulo
514;813;Minas Gerais
515;588;MG
516;77;RJ
517;405;SP
518;435;Pará
519;119;SP
520;457;São Paulo
521;630;BA
522;733;BA
523;532;SP
524;600;SP
525;970;CE
526;295;Minas Gerais
527;474;São Paulo
528;978;Bahia
529;572;PB
530;155;MG
531;92;Maranhão
532;982;Goiás
533;312;Pernambuco
534;692;Rio Grande do Sul
535;651;SP
536;531;PA
537;149;Minas Gerais
538;311;SP
539;708;PE
540;713;PR
541;497;SP
542;661;Rio Grande do Sul
543;58;MG
544;386;São Paulo
545;47;Maranhão
546;193;SP
547;495;Minas Gerais
548;825;Maranhão
549;869;Maranhão
550;883;Maranhão
551;21;Pará
552;207;SP
553;615;PA
554;598;MA
555;480;RS
556;270;Minas Gerais
557;184;MG
558;754;São Paulo
559;15;SP
560;889;Rio de Janeiro
561;35;RS
562;784;MG
563;845;Pernambuco
564;33;SC
565;591;CE
566;177;São Paulo
567;944;MA
568;602;SP
569;611;MA
570;626;Bahia
571;83;MA
572;314;Rio de Janeiro
573;858;PR
574;468;Rio de Janeiro
575;478;São Paulo
576;163;PR
577;781;São Paulo
578;543;SP
579;789;CE
580;693;PR
581;846;RJ
582;702;Bahia
583;796;RS
584;849;Paraná
585;521;PE
586;537;Rio Grande do Sul
587;988;Minas Gerais
588;346;Maranhão
589;833;BA
590;586;Rio de Janeiro
591;307;São Paulo
592;217;Rio Grande do Sul
593;603;São Paulo
594;536;Maranhão
595;416;São Paulo
596;824;RS
597;482;São Paulo
598;542;RS
599;685;Rio de Janeiro
600;535;Rio de Janeiro
601;356;BA
602;387;Maranhão
603;682;Ceará
604;419;PE
605;23;São Paulo
606;726;Rio Grande do Sul
607;513;São Paulo
608;986;BA
609;202;BA
610;714;PA
611;258;MG
612;675;Minas Gerais
613;677;São Paulo
614;607;MA
615;735;São Paulo
616;20;Bahia
617;127;PB
618;54;SP
619;999;Goiás
620;977;Pernambuco
621;254;SP
622;805;Pernambuco
623;507;São Paulo
624;520;São Paulo
625;524;São Paulo
626;496;PE
627;60;SP
628;46;SP
629;698;Pará
630;737;Minas Gerais
631;16;PE
632;548;SP
633;614;MG
634;949;PE
635;136;São Paulo
636;659;Goiás
637;115;São Paulo
638;765;Minas Gerais
639;112;CE
640;491;MG
641;667;MG
642;140;SP
643;975;PR
644;884;São Paulo
645;492;Ceará
646;976;Rio de Janeiro
647;303;MA
648;198;São Paulo
649;120;Goiás
650;289;SP
651;301;PR
652;683;BA
653;936;Bahia
654;55;RS
655;744;SP
656;208;Rio Grande do Sul
657;892;Maranhão
658;59;RS
659;438;Minas Gerais
660;902;MG
661;98;São Paulo
662;116;Minas Gerais
663;836;Pará
664;766;Bahia
665;471;PR
666;196;São Paulo
667;114;Pernambuco
668;560;PR
669;940;MG
670;322;Rio Grande do Sul
671;663;PR
672;28;Pará
673;153;Maranhão
674;488;Rio de Janeiro
675;129;SP
676;580;São Paulo
677;592;Ceará
678;242;PA
679;159;SP
680;991;Santa Catarina
681;362;Goiás
682;354;São Paulo
683;573;Paraná
684;42;RJ
685;298;Rio de Janeiro
686;783;Santa Catarina
687;623;MA
688;30;PR
689;267;Minas Gerais
690;790;Paraíba
691;894;MG
692;514;Maranhão
693;241;CE
694;399;Ceará
695;390;RJ
696;839;Rio de Janeiro
697;429;Bahia
698;22;RJ
699;452;PB
700;727;Rio Grande do Sul
701;797;São Paulo
702;11;SP
703;732;Santa Catarina
704;613;Goiás
705;564;São Paulo
706;469;SC
707;759;SP
708;867;Minas Gerais
709;225;MG
710;158;Bahia
711;624;RS
712;310;Rio de Janeiro
713;508;MA
714;772;Rio de Janeiro
715;753;São Paulo
716;526;Maranhão
717;377;MG
718;503;PE
719;674;São Paulo
720;333;Bahia
721;504;PE
722;308;Pernambuco
723;31;São Paulo
724;606;Rio Grande do Sul
725;36;PR
726;393;São Paulo
727;284;BA
728;483;Rio de Janeiro
729;547;SP
730;190;Rio de Janeiro
731;639;Minas Gerais
732;411;PR
733;319;Minas Gerais
734;229;Goiás
735;831;Rio Grande do Sul
736;989;PR
737;761;CE
738;549;São Paulo
739;211;SP
740;515;RS
741;191;São Paulo
742;928;Paraná
743;107;Pernambuco
744;70;São Paulo
745;861;Minas Gerais
746;562;MG
747;596;RS
748;642;SP
749;25;BA
750;576;PE
751;154;RJ
752;951;Ceará
753;94;RJ
754;48;SP
755;561;RJ
756;192;SP
757;262;Rio Grande do Sul
758;716;SP
759;937;Santa Catarina
760;472;MA
761;462;RS
762;404;SP
763;317;Minas Gerais
764;138;CE
765;222;SC
766;822;Maranhão
767;552;SP
768;244;São Paulo
769;374;CE
770;268;SC
771;360;Maranhão
772;300;Pará
773;256;Pernambuco
774;960;PB
775;302;Bahia
776;288;CE
777;194;SP
778;792;Paraná
779;756;PE
780;195;MG
781;923;São Paulo
782;264;SP
783;95;São Paulo
784;347;SP
785;828;Paraná
786;780;São Paulo
787;1000;RJ
788;394;Minas Gerais
789;604;São Paulo
790;773;Minas Gerais
791;590;São Paulo
792;257;São Paulo
793;929;SC
794;164;Santa Catarina
795;979;Paraíba
796;802;RJ
797;909;Rio de Janeiro
798;180;BA
799;227;SP
800;795;MG
801;464;Bahia
802;186;PR
803;68;SP
804;439;SP
805;728;RJ
806;821;PE
807;5;São Paulo
808;757;Rio de Janeiro
809;479;São Paulo
810;641;MG
811;886;RJ
812;939;Bahia
813;133;Rio Grande do Sul
814;111;PR
815;182;RJ
816;397;Minas Gerais
817;637;Santa Catarina
818;731;Pará
819;125;Pará
820;326;Ceará
821;803;Maranhão
822;444;PR
823;652;SP
824;617;Maranhão
825;239;SP
826;187;SP
827;648;Ceará
828;485;PE
829;214;CE
830;952;GO
831;282;Rio de Janeiro
832;959;Bahia
833;570;Paraíba
834;271;Minas Gerais
835;704;PR
836;554;Rio de Janeiro
837;274;PR
838;501;Minas Gerais
839;916;Paraná
840;283;São Paulo
841;971;SP
842;984;Pará
843;93;São Paulo
844;179;São Paulo
845;8;Rio de Janeiro
846;581;MG
847;870;MG
848;337;Bahia
849;585;SP
850;299;PE
851;804;Bahia
852;26;Rio de Janeiro
853;679;MG
854;903;GO
855;876;SP
856;980;RJ
857;686;Rio de Janeiro
858;449;Minas Gerais
859;142;Minas Gerais
860;316;SP
861;162;MA
862;806;Rio de Janeiro
863;466;BA
864;899;Pernambuco
865;997;São Paulo
866;458;Ceará
867;2;MG
868;993;BA
869;121;BA
870;791;Goiás
871;14;Santa Catarina
872;181;São Paulo
873;665;Goiás
874;855;RJ
875;434;Paraíba
876;188;Goiás
877;837;Pernambuco
878;339;Paraná
879;150;MG
880;938;Goiás
881;64;SP
882;558;Rio de Janeiro
883;359;RS
884;786;SP
885;840;SP
886;453;MG
887;65;Rio Grande do Sul
888;568;SP
889;955;Rio de Janeiro
890;9;SP
891;293;Ceará
892;185;PE
893;569;Rio de Janeiro
894;556;PE
895;124;RJ
896;922;PR
897;291;Pará
898;801;Minas Gerais
899;349;MA
900;418;Rio Grande do Sul
901;776;São Paulo
902;100;São Paulo
903;694;MG
904;69;São Paulo
905;575;São Paulo
906;687;Bahia
907;465;Rio Grande do Sul
908;414;São Paulo
909;763;Ceará
910;103;Goiás
911;342;SP
912;880;GO
913;224;RS
914;6;MG
915;441;RJ
916;146;BA
917;965;Rio Grande do Sul
918;32;Minas Gerais
919;401;São Paulo
920;968;São Paulo
921;571;BA
922;817;Minas Gerais
923;643;PE
924;369;Rio Grande do Sul
925;400;Bahia
926;764;São Paulo
927;315;São Paulo
928;530;Minas Gerais
929;782;Bahia
930;402;Rio de Janeiro
931;176;PR
932;900;Rio Grande do Sul
933;451;Rio de Janeiro
934;87;Santa Catarina
935;265;Rio de Janeiro
936;901;Ceará
937;992;Paraná
938;90;PA
939;235;Minas Gerais
940;50;MA
941;174;São Paulo
942;644;Rio de Janeiro
943;450;MG
944;563;São Paulo
945;99;Minas Gerais
946;966;Ceará
947;476;SP
948;945;Rio Grande do Sul
949;352;GO
950;599;MG
951;467;MA
952;933;Paraná
953;463;MG
954;332;PA
955;41;Rio Grande do Sul
956;128;Santa Catarina
957;721;MG
958;101;GO
959;826;BA
960;827;RS
961;1;Rio Grande do Sul
962;768;BA
963;372;RJ
964;78;MG
965;972;MG
966;228;SP
967;559;Santa Catarina
968;137;São Paulo
969;376;GO
970;859;SC
971;906;Pará
972;589;Minas Gerais
973;341;RS
974;281;Rio Grande do Sul
975;408;RJ
976;261;BA
977;810;São Paulo
978;86;São Paulo
979;860;SC
980;215;São Paulo
981;729;São Paulo
982;640;PR
983;246;Rio de Janeiro
984;134;SC
985;201;CE
986;905;Ceará
987;489;Ceará
988;567;Goiás
989;823;SP
990;4;RJ
991;409;Pernambuco
992;628;Minas Gerais
993;834;Rio Grande do Sul
994;990;São Paulo
995;45;PB
996;954;RS
997;853;PB
998;882;Paraná
999;220;Rio de Janeiro
1000;511;Pernambuco
