ED;ID;Sobrenome;Prox.Sobrenome
531;92;Irwin;0
843;93;Merrill;0
753;94;Wade;0
783;95;Fox;0
108;96;Griffith;0
235;97;Mccormick;240
661;98;Bridges;0
945;99;Mercer;0
902;100;Mullins;0
958;101;Burns;0
392;102;Joseph;0
910;103;Noel;0
266;104;Cox;0
141;105;Mcclain;877
21;106;Cobb;496
743;107;Malone;0
361;108;Mcguire;722
401;109;Warren;501
208;110;Slater;0
814;111;Chase;997
639;112;Henderson;0
116;113;Nieves;0
667;114;Nunez;876
637;115;Clements;0
662;116;May;823
355;117;Blackwell;922
343;118;Mitchell;0
519;119;Howell;0
649;120;Barnett;745
869;121;Briggs;0
454;122;Soto;554
345;123;Haynes;0
895;124;Lloyd;0
819;125;Mcmillan;0
354;126;Barnett;649
617;127;Nunez;667
956;128;Johns;0
675;129;Davenport;0
15;130;Gaines;112
130;131;Vargas;0
447;132;Atkinson;547
813;133;Hartman;0
984;134;Winters;0
92;135;Hogan;841
635;136;Nelson;0
968;137;Alexander;0
764;138;Lloyd;895
276;139;Bridges;661
642;140;Carlson;0
441;141;Sexton;541
859;142;Rojas;0
169;143;Hunt;0
464;144;Wilder;564
207;145;Rush;0
916;146;Sweeney;0
334;147;Castro;0
239;148;Buchanan;0
537;149;Church;0
879;150;Bates;0
478;151;Saunders;578
368;152;Blake;0
673;153;Duffy;0
751;154;Sherman;0
530;155;Trevino;0
149;156;Moon;0
301;157;Alston;0
710;158;Perry;0
679;159;Herrera;785
390;160;Horton;0
55;161;Kane;775
861;162;Norris;891
576;163;Rowe;0
794;164;Haley;0
113;165;Charles;0
88;166;Lowe;0
200;167;Floyd;229
453;168;Stout;553
214;169;Sims;610
444;170;Robbins;544
49;171;Conway;80
295;172;Sargent;747
183;173;Prince;0
941;174;Wright;0
352;175;Knight;461
931;176;Leblanc;0
566;177;Rivers;0
342;178;Robertson;0
844;179;Wheeler;976
798;180;Harmon;0
872;181;Tyson;0
815;182;Cruz;0
175;183;Dixon;796
557;184;Reeves;0
892;185;Cain;0
802;186;Jordan;0
826;187;Torres;0
876;188;Nunez;0
394;189;Clayton;0
730;190;Ryan;0
741;191;Fields;0
756;192;Bowen;0
546;193;Langley;0
777;194;Holland;821
780;195;Hanson;0
666;196;Keith;0
247;197;Sawyer;0
648;198;Oconnor;0
12;199;Baxter;0
321;200;Fry;0
985;201;Hester;0
609;202;Fleming;928
489;203;Hays;589
114;204;Fisher;133
400;205;Strong;459
344;206;Mccarthy;699
552;207;Monroe;620
656;208;Frederick;868
246;209;Thomas;0
78;210;Clayton;372
739;211;Olsen;0
351;212;Taylor;0
271;213;Garrison;0
829;214;Sheppard;0
980;215;Barber;0
38;216;Hardin;854
592;217;Preston;720
133;218;Fisher;0
97;219;Ratliff;0
999;220;Mccall;0
242;221;Vinson;0
765;222;Casey;0
22;223;Sellers;0
913;224;Gill;0
709;225;Lang;0
5;226;Albert;0
799;227;Mcdonald;0
966;228;Pennington;0
734;229;Fletcher;0
160;230;Newman;0
490;231;Craig;590
465;232;Hebert;565
413;233;Andrews;513
96;234;Simmons;0
939;235;Gonzales;0
474;236;Bradford;574
163;237;Patton;0
232;238;Jackson;0
825;239;Nicholson;0
206;240;Calhoun;0
693;241;English;838
678;242;Tyler;0
408;243;Barron;508
768;244;Conner;0
360;245;Hooper;626
983;246;Reynolds;0
407;247;Boyer;507
82;248;Potter;340
152;249;Christian;0
506;250;Phillips;0
436;251;Fuentes;536
193;252;Mason;0
33;253;Peterson;0
621;254;Ayala;897
418;255;Langley;446
773;256;Head;951
792;257;Hodges;0
611;258;Reese;908
221;259;Valencia;296
47;260;Romero;0
976;261;Wheeler;0
757;262;Sargent;0
437;263;Church;537
782;264;Moore;0
935;265;Rosales;0
8;266;Lara;670
689;267;Davis;0
770;268;Walker;0
419;269;Howell;519
556;270;Flores;0
834;271;Mack;0
337;272;Marshall;0
107;273;Lane;0
837;274;Warner;0
74;275;Schultz;180
19;276;Walsh;0
445;277;Short;545
314;278;Randall;330
305;279;Wiley;0
381;280;Saunders;478
974;281;Fuentes;0
831;282;Richardson;0
840;283;Navarro;0
727;284;Ray;0
432;285;King;532
127;286;Bell;274
287;287;Hartman;487
776;288;Knox;0
650;289;Peck;0
501;290;Warren;990
897;291;Ayala;0
283;292;Dennis;310
891;293;Norris;0
198;294;Brown;0
526;295;Case;806
37;296;Potter;82
331;297;Key;0
685;298;Pollard;0
850;299;Wilkins;0
772;300;Merrill;843
651;301;Yang;657
775;302;Kane;0
647;303;Giles;0
93;304;Hall;816
391;305;Hughes;0
446;306;Langley;518
591;307;Maddox;0
722;308;Mcguire;0
389;309;Gibbs;714
712;310;Gates;0
538;311;Hardy;0
533;312;Alvarez;0
443;313;Villarreal;543
572;314;Baldwin;0
927;315;Snow;0
860;316;Oneil;0
763;317;Mccarthy;787
217;318;Schroeder;644
733;319;Hutchinson;0
73;320;Hodges;256
83;321;Walters;0
670;322;Lara;0
99;323;Ewing;602
430;324;Trevino;530
291;325;Combs;0
820;326;Calderon;0
156;327;Salinas;970
65;328;Black;0
179;329;Mendez;0
95;330;Lancaster;0
312;331;Stevens;0
954;332;Carver;0
720;333;Preston;0
40;334;Carson;0
2;335;Higgins;387
492;336;Preston;592
848;337;Atkins;0
387;338;Higgins;871
878;339;Hewitt;0
462;340;Holden;562
973;341;Branch;0
911;342;Larson;0
477;343;Peck;497
414;344;Welch;514
339;345;Holland;777
588;346;Pollard;685
784;347;Mckenzie;845
416;348;Galloway;516
899;349;Rose;0
192;350;Greer;836
256;351;Hodges;681
949;352;Weaver;0
393;353;Christensen;0
682;354;Shannon;811
202;355;Mccarty;0
601;356;Torres;717
249;357;Barnes;604
513;358;Andrews;646
883;359;Estes;0
771;360;Meyer;0
455;361;Cannon;555
681;362;Hodges;792
422;363;Melton;522
311;364;Nelson;635
497;365;Peck;577
184;366;Oneill;967
452;367;Monroe;552
434;368;Gonzales;534
924;369;Wise;989
317;370;Daniels;0
18;371;Gonzalez;909
963;372;Chavez;0
111;373;Shelton;203
769;374;Fowler;0
302;375;Rodriguez;481
969;376;Francis;0
717;377;Torres;826
187;378;Herrera;679
340;379;Potter;0
159;380;Boyd;631
234;381;Mosley;0
36;382;Cooley;702
196;383;Kline;371
338;384;Whitaker;0
41;385;Cook;0
544;386;Robbins;0
602;387;Ewing;0
150;388;Kent;0
371;389;Kline;0
695;390;Bell;0
326;391;Serrano;719
356;392;Frost;0
726;393;Juarez;0
788;394;Sanders;884
34;395;Hendrix;0
126;396;Salazar;0
816;397;Hall;0
167;398;Payne;700
694;399;Rhodes;744
925;400;Gibbs;0
919;401;Emerson;0
930;402;Graham;0
348;403;Watson;636
762;404;Cline;0
517;405;Page;750
43;406;Savage;684
285;407;Hughes;391
975;408;Petersen;0
991;409;Byers;0
98;410;Hicks;0
732;411;Klein;864
364;412;Good;808
90;413;Mckee;365
908;414;Reese;0
488;415;Pollard;588
595;416;Hinton;0
510;417;Williamson;1000
900;418;Tucker;0
604;419;Barnes;0
124;420;Watts;0
429;421;Glenn;529
262;422;Russo;0
236;423;Sparks;0
81;424;Zamora;171
313;425;Frederick;425
278;426;England;886
415;427;Blevins;515
166;428;Branch;973
697;429;Buckley;0
251;430;Navarro;840
115;431;Pate;921
32;432;Christian;152
485;433;Gordon;585
875;434;Mcbride;920
518;435;Langley;546
245;436;Flowers;660
56;437;Fitzgerald;849
659;438;Nash;0
804;439;Gill;913
487;440;Hartman;587
915;441;Macdonald;0
147;442;Blanchard;0
238;443;Woods;888
822;444;Weber;0
258;445;Melendez;0
358;446;Benson;396
14;447;Cabrera;378
252;448;Morse;807
858;449;Emerson;919
943;450;Copeland;0
933;451;Maxwell;0
699;452;Mccarthy;763
886;453;England;0
483;454;Maxwell;583
503;455;Avila;0
185;456;Stewart;0
520;457;Fletcher;734
866;458;Burton;0
30;459;Glenn;429
161;460;Burch;0
194;461;Pugh;0
761;462;Rodriquez;0
953;463;Mueller;0
801;464;Briggs;869
907;465;Stephens;0
863;466;Ross;0
951;467;Head;0
574;468;Bradford;0
706;469;Daugherty;0
117;470;Bird;145
665;471;Andrews;0
760;472;Hartman;813
491;473;Maddox;591
527;474;Ellis;0
279;475;Hurley;0
947;476;Hines;957
243;477;Mcdowell;0
575;478;Clay;790
809;479;Boyer;0
555;480;Cannon;0
39;481;Tillman;676
597;482;Peck;650
728;483;Mendoza;0
456;484;Flores;556
828;485;Valdez;0
512;486;Meadows;885
423;487;Olsen;523
674;488;Moran;0
987;489;Bradley;0
288;490;Bonner;978
640;491;Reyes;0
645;492;Martinez;0
330;493;Randall;0
10;494;Thornton;0
547;495;Atkinson;0
626;496;Hooper;0
541;497;Sexton;0
104;498;Ingram;0
479;499;Elliott;579
71;500;Alvarado;672
838;501;English;0
379;502;Reid;0
718;503;Whitney;0
721;504;Cleveland;0
216;505;Mcmillan;819
388;506;Wolf;0
623;507;Lindsay;0
713;508;Morrow;793
292;509;Mccarthy;344
420;510;Fletcher;520
1000;511;Williamson;0
211;512;Snider;618
607;513;Sharp;0
692;514;Harrell;0
740;515;Kaufman;890
85;516;Hernandez;0
64;517;Page;176
336;518;Sears;0
66;519;Gibbs;389
624;520;Mills;0
585;521;Gordon;0
121;522;Jimenez;0
131;523;Larsen;212
625;524;Merritt;0
363;525;Perkins;0
716;526;Cobb;0
23;527;Fulton;0
457;528;Reeves;557
24;529;Patel;341
928;530;Fleming;0
536;531;Fuentes;974
523;532;Olsen;739
299;533;Oneal;0
461;534;Knight;561
600;535;Oconnor;648
594;536;Lawson;0
586;537;Peters;0
42;538;Frye;0
84;539;Vega;0
125;540;Conway;0
473;541;Wade;573
598;542;Whitney;718
578;543;Saunders;632
319;544;Bush;0
281;545;Berry;0
9;546;Sanford;0
729;547;Gonzales;939
632;548;Saunders;0
738;549;Parker;805
112;550;Gaines;0
507;551;Boyer;809
767;552;Elliott;0
45;553;Gomez;0
836;554;Greer;0
227;555;Hays;489
894;556;Hopper;0
157;557;Haney;0
882;558;Ramirez;0
967;559;Oneill;0
668;560;Schroeder;0
755;561;Contreras;0
746;562;Skinner;0
944;563;Young;0
705;564;Figueroa;0
222;565;Terrell;846
89;566;Hobbs;0
988;567;Camacho;0
888;568;Woods;0
893;569;Beard;0
833;570;Holden;0
921;571;Pate;0
529;572;Glenn;962
683;573;Mcbride;875
370;574;Nichols;622
905;575;James;0
750;576;Page;0
219;577;Rowe;476
54;578;Austin;0
265;579;Horton;390
676;580;Tillman;0
846;581;Terrell;0
215;582;Shaffer;0
486;583;Peters;586
142;584;Mendoza;728
849;585;Fitzgerald;0
590;586;Craig;912
377;587;Dudley;0
515;588;Blevins;0
972;589;Hamilton;0
791;590;Daniel;0
565;591;Hebert;0
677;592;Huff;0
170;593;Kemp;708
134;594;Morton;0
324;595;Farmer;0
747;596;Sargent;757
57;597;Mendoza;142
554;598;Soto;0
950;599;Carpenter;0
524;600;Conley;0
240;601;Mccormick;898
568;602;Kennedy;0
593;603;Pacheco;0
789;604;Johnson;0
397;605;Acevedo;0
724;606;Logan;937
614;607;Owens;786
323;608;Glover;0
376;609;Crane;439
341;610;Patel;0
569;611;Burks;0
502;612;Castillo;0
704;613;Mercado;0
633;614;Greene;0
553;615;Stout;0
395;616;Wagner;0
824;617;Ross;863
504;618;Bennett;0
4;619;Burke;948
328;620;Doyle;0
290;621;Roth;663
450;622;Bowers;550
687;623;Parrish;0
711;624;Richmond;0
174;625;Riddle;0
570;626;Macdonald;915
136;627;Santos;188
992;628;Ortiz;0
102;629;Matthews;961
521;630;Gillespie;0
106;631;Sawyer;247
435;632;Parsons;535
155;633;Tyler;678
365;634;Mckee;0
320;635;Weber;399
293;636;West;0
817;637;Chavez;963
268;638;Santana;0
731;639;Merrill;772
982;640;Mathews;0
810;641;Sharpe;0
748;642;Mcknight;0
923;643;Leach;0
942;644;Scott;996
205;645;Stuart;0
275;646;Wheeler;349
171;647;Zamora;0
827;648;Hampton;0
224;649;Munoz;0
303;650;Yang;651
535;651;Parsons;0
823;652;May;0
7;653;Lowery;0
402;654;Castillo;502
484;655;Ayers;584
318;656;Gilliam;0
1;657;Clark;0
144;658;Hardy;382
636;659;Watson;0
35;660;Vazquez;0
542;661;Underwood;0
378;662;Cabrera;0
671;663;Barr;0
199;664;Hatfield;0
873;665;Maynard;0
255;666;Marquez;0
641;667;Miller;0
508;668;Barron;0
374;669;Pennington;966
417;670;Page;517
118;671;Underwood;442
218;672;Pope;658
225;673;Stanley;0
719;674;Serrano;0
612;675;Marks;669
20;676;Hardy;144
613;677;Hoover;0
151;678;Alexander;968
853;679;Ochoa;0
135;680;Anderson;0
359;681;Forbes;0
603;682;Guy;0
652;683;Wynn;0
58;684;Kramer;0
599;685;Knapp;917
857;686;William;0
906;687;Allen;0
52;688;Powell;0
229;689;Floyd;0
366;690;Meyers;367
6;691;Shields;0
534;692;Gonzales;729
580;693;Jordan;802
903;694;Browning;0
460;695;Brennan;560
286;696;Carter;0
87;697;Drake;0
629;698;Boone;0
496;699;Cobb;596
237;700;Chan;880
511;701;Bright;0
582;702;Estrada;0
75;703;Spencer;0
835;704;Crosby;904
426;705;Case;526
467;706;Jarvis;567
403;707;Avila;503
539;708;Crane;0
438;709;Hardy;538
493;710;Pacheco;593
468;711;Kennedy;568
309;712;Duffy;673
540;713;Porter;0
610;714;Sims;0
61;715;Huff;677
758;716;Hood;0
181;717;Gates;712
120;718;Castaneda;0
248;719;Kinney;0
109;720;Singleton;409
957;721;Hines;0
203;722;Shelton;0
153;723;Hull;0
195;724;Rocha;0
329;725;Jacobson;839
606;726;Manning;0
700;727;Payne;0
805;728;Parker;0
981;729;Hess;0
27;730;Mueller;953
818;731;Chen;0
703;732;Mack;834
522;733;Melton;0
399;734;Weber;822
615;735;Bowman;0
499;736;Knapp;599
630;737;Daugherty;706
469;738;Burks;569
29;739;Kerr;0
269;740;Marsh;0
405;741;Vaughan;505
230;742;Hunter;463
386;743;Strickland;428
655;744;Michael;0
272;745;Cain;449
146;746;Oneil;688
307;747;Tate;0
145;748;Bird;940
449;749;Cain;549
261;750;Curry;0
77;751;Maynard;634
505;752;Vaughan;0
715;753;Nolan;0
558;754;Stephens;907
173;755;Estrada;482
779;756;Boyd;0
808;757;Good;0
308;758;Huffman;0
707;759;Head;773
357;760;Rutledge;0
737;761;Holman;0
13;762;Lindsay;623
909;763;Gonzalez;0
926;764;Gould;0
638;765;Craft;0
664;766;Welch;0
76;767;Wise;924
962;768;Glenn;0
263;769;Wood;0
349;770;Wheeler;844
250;771;Herring;0
714;772;Gibbs;925
790;773;Clay;0
226;774;West;293
101;775;Clements;637
901;776;Horne;0
197;777;Reese;611
209;778;Spence;0
50;779;Chandler;0
786;780;Owens;0
577;781;Peck;597
929;782;Garza;0
686;783;Wong;0
562;784;Holden;833
347;785;Atkins;848
884;786;Sanders;0
69;787;Chaney;0
94;788;Leblanc;931
579;789;Elliott;767
690;790;Oneil;860
870;791;Mcfadden;0
778;792;Tran;0
178;793;Webster;0
306;794;Kirkland;0
800;795;Rodgers;0
583;796;Maxwell;933
701;797;Palmer;0
257;798;Carter;286
332;799;Warner;837
335;800;Gallagher;0
898;801;Mccormick;0
796;802;Dixon;0
821;803;Holland;0
851;804;Wyatt;0
622;805;Nichols;0
862;806;Carver;954
274;807;Bell;695
31;808;Tucker;900
476;809;Rowe;576
977;810;Bartlett;0
105;811;Estrada;173
177;812;Duke;0
514;813;Welch;664
168;814;Clarke;0
79;815;Farmer;324
210;816;Price;0
922;817;Blackwell;0
213;818;Keith;666
260;819;Stephens;458
190;820;Crawford;0
806;821;Case;0
766;822;Washington;0
989;823;Wise;0
596;824;Cobb;716
548;825;Gross;0
959;826;Boyle;0
960;827;Stafford;0
785;828;Herrera;0
369;829;Baird;0
164;830;Randolph;0
735;831;Hood;758
264;832;Booth;0
589;833;Hays;0
993;834;Velazquez;0
51;835;Shaw;0
663;836;Roth;774
877;837;Mcclain;0
11;838;Beach;0
696;839;Bullock;0
885;840;Meadows;0
410;841;Williamson;510
448;842;Gross;548
509;843;Singleton;0
500;844;Oconnor;600
563;845;Hunter;0
581;846;Rodriguez;0
189;847;Larson;911
373;848;Guzman;932
584;849;Ayers;0
60;850;Woodward;0
176;851;Page;417
241;852;Barton;0
997;853;Chase;0
327;854;Hampton;827
874;855;Mccarthy;0
172;856;Donaldson;955
294;857;Holloway;0
573;858;Wade;753
970;859;Salinas;0
979;860;Travis;0
745;861;Barnett;0
122;862;Barrera;0
103;863;Hubbard;0
297;864;Moran;398
322;865;Michael;655
480;866;Jordan;580
708;867;Kemp;0
48;868;Mcconnell;0
549;869;Cain;892
847;870;Huber;0
384;871;Wyatt;851
162;872;Huber;847
494;873;Lawson;594
431;874;Irwin;531
280;875;Shepherd;938
855;876;Lewis;0
428;877;Strickland;528
409;878;Singleton;509
26;879;Glass;0
912;880;Craig;0
411;881;Bright;511
998;882;Moses;0
550;883;Bowers;0
644;884;Schroeder;668
154;885;Gregory;0
811;886;Shannon;0
475;887;Clay;575
91;888;Kirkland;306
560;889;Brennan;0
143;890;Keller;0
201;891;Perry;710
657;892;Yang;0
137;893;Schroeder;217
691;894;Luna;0
471;895;Delgado;571
3;896;Townsend;231
346;897;Dickson;0
466;898;Rivers;566
864;899;Klein;0
932;900;Guzman;0
936;901;Stark;0
660;902;Flowers;0
854;903;Hardin;0
396;904;Benson;896
986;905;Farrell;0
971;906;Galloway;0
439;907;Crane;539
406;908;Phillips;506
797;909;Sweeney;916
231;910;Townsend;0
267;911;Freeman;0
442;912;Underwood;542
375;913;Carver;862
470;914;Macdonald;570
433;915;Alvarez;533
839;916;Jacobson;0
472;917;Baldwin;572
482;918;Estrada;582
383;919;Mays;0
128;920;Robles;0
223;921;Mccarthy;292
896;922;Benson;0
781;923;Carroll;0
316;924;Mayer;0
440;925;Porter;540
289;926;Kidd;0
270;927;Baldwin;472
742;928;Brady;0
793;929;Morrow;0
353;930;Moody;0
100;931;Eaton;0
451;932;Casey;551
952;933;Harrison;0
188;934;Santos;0
110;935;Haynes;345
653;936;Myers;0
759;937;Blankenship;0
880;938;Chan;0
812;939;Cherry;0
669;940;Marks;0
350;941;Fox;783
427;942;Ellis;527
140;943;Howell;419
567;944;Jarvis;0
948;945;Burke;0
362;946;Parsons;435
158;947;Booker;0
333;948;Rios;0
634;949;Maynard;873
191;950;Ortega;385
752;951;Espinoza;0
830;952;Foreman;0
380;953;Grant;0
996;954;Scott;0
889;955;Walter;0
253;956;Wilcox;0
385;957;Ortega;0
244;958;Diaz;0
832;959;Finch;0
774;960;Roth;946
86;961;Alston;301
425;962;Frederick;525
139;963;Wall;0
458;964;Stephens;558
917;965;Knapp;0
946;966;Roth;0
180;967;Schultz;0
920;968;Mcbride;0
372;969;Clayton;394
525;970;Frederick;656
841;971;Hogan;0
965;972;Franks;0
129;973;Garza;929
404;974;Bennett;504
643;975;Sweeney;797
646;976;Andrews;665
620;977;Monroe;0
528;978;Strickland;0
795;979;Sheppard;829
856;980;Mccall;999
412;981;Meadows;512
532;982;King;0
298;983;Puckett;0
842;984;Vasquez;0
62;985;Mays;383
608;986;Talley;0
382;987;Hardy;438
587;988;Hartman;760
736;989;Coffey;0
994;990;Strong;0
680;991;Bean;0
937;992;Logan;0
868;993;Frederick;918
325;994;Nguyen;0
63;995;Walter;889
165;996;Bennett;404
865;997;Mccoy;0
80;998;Conway;125
619;999;Mckay;0
787;1000;Mccarthy;874
