ED;ID;Estado;Prox.Estado
649;120;Goiás;681
869;121;BA;916
454;122;MA;467
345;123;Rio Grande do Sul;383
895;124;RJ;915
819;125;Pará;842
354;126;Bahia;356
617;127;PB;699
956;128;Santa Catarina;967
675;129;SP;679
15;130;Maranhão;35
130;131;Paraná;133
447;132;Minas Gerais;456
813;133;Rio Grande do Sul;887
984;134;SC;0
92;135;Rio de Janeiro;98
635;136;São Paulo;637
968;137;São Paulo;977
764;138;CE;769
276;139;SP;286
642;140;SP;650
441;141;SP;446
859;142;Minas Gerais;898
169;143;São Paulo;178
464;144;SC;564
207;145;RS;218
916;146;BA;921
334;147;Rio de Janeiro;370
239;148;RS;245
537;149;Minas Gerais;547
879;150;MG;886
478;151;SP;517
368;152;BA;372
673;153;Maranhão;692
751;154;RJ;753
530;155;MG;543
149;156;PA;154
301;157;RJ;321
710;158;Bahia;720
679;159;SP;702
390;160;Rio Grande do Sul;434
55;161;São Paulo;61
861;162;MA;899
576;163;PR;580
794;164;Santa Catarina;817
113;165;GO;185
88;166;SP;89
200;167;GO;257
453;168;PA;536
214;169;Pernambuco;271
444;170;São Paulo;458
49;171;MG;51
295;172;Pernambuco;376
183;173;CE;232
941;174;São Paulo;944
352;175;CE;357
931;176;PR;982
566;177;São Paulo;575
342;178;Maranhão;344
844;179;São Paulo;865
798;180;BA;863
872;181;São Paulo;901
815;182;RJ;856
175;183;BA;180
557;184;MG;562
892;185;PE;894
802;186;PR;814
826;187;SP;841
876;188;Goiás;880
394;189;São Paulo;400
730;190;Rio de Janeiro;797
741;191;São Paulo;744
756;192;SP;758
546;193;SP;552
777;194;SP;782
780;195;MG;800
666;196;São Paulo;676
247;197;MA;290
648;198;São Paulo;661
12;199;Rio de Janeiro;19
321;200;RJ;371
985;201;CE;0
609;202;BA;652
489;203;BA;511
114;204;MA;123
400;205;São Paulo;401
344;206;Maranhão;353
552;207;SP;559
656;208;Rio Grande do Sul;670
246;209;São Paulo;294
78;210;São Paulo;80
739;211;SP;748
351;212;GO;365
271;213;Pernambuco;279
829;214;CE;985
980;215;São Paulo;981
38;216;São Paulo;55
592;217;Rio Grande do Sul;606
133;218;Paraná;155
97;219;MG;101
999;220;Rio de Janeiro;0
242;221;PE;256
765;222;SC;770
22;223;Ceará;181
913;224;RS;960
709;225;MG;717
5;226;Ceará;14
799;227;SP;803
966;228;SP;989
734;229;Goiás;870
160;230;RJ;162
490;231;Rio de Janeiro;499
465;232;CE;479
413;233;São Paulo;420
96;234;MA;114
939;235;Minas Gerais;945
474;236;Rio de Janeiro;490
163;237;São Paulo;168
232;238;CE;236
825;239;SP;826
206;240;RJ;209
693;241;CE;737
678;242;PA;938
408;243;Pernambuco;433
768;244;São Paulo;781
360;245;São Paulo;363
983;246;Rio de Janeiro;999
407;247;Bahia;428
82;248;Bahia;105
152;249;BA;170
506;250;PE;539
436;251;PA;453
193;252;SP;212
33;253;BA;136
621;254;SP;627
418;255;Pará;451
773;256;Pernambuco;864
792;257;São Paulo;807
611;258;MG;633
221;259;São Paulo;224
47;260;Maranhão;60
976;261;BA;0
757;262;Rio Grande do Sul;813
437;263;Minas Gerais;447
782;264;SP;784
935;265;Rio de Janeiro;942
8;266;SP;10
689;267;Minas Gerais;708
770;268;SC;793
419;269;SP;423
556;270;Minas Gerais;587
834;271;Minas Gerais;838
337;272;BA;355
107;273;São Paulo;111
837;274;PR;896
74;275;Santa Catarina;186
19;276;Rio de Janeiro;41
445;277;Maranhão;448
314;278;Santa Catarina;323
305;279;SP;306
381;280;MG;388
974;281;Rio Grande do Sul;993
831;282;Rio de Janeiro;836
840;283;São Paulo;843
727;284;BA;749
432;285;Goiás;532
127;286;Paraná;130
287;287;Minas Gerais;293
776;288;CE;829
650;289;SP;655
501;290;São Paulo;503
897;291;Pará;971
283;292;Rio Grande do Sul;336
891;293;Ceará;909
198;294;Bahia;215
526;295;Minas Gerais;537
37;296;MA;66
331;297;PE;367
685;298;Rio de Janeiro;696
850;299;PE;892
772;300;Pará;818
651;301;PR;665
775;302;Bahia;801
647;303;MA;687
93;304;PA;112
391;305;MG;402
446;306;SP;452
591;307;São Paulo;593
722;308;Pernambuco;743
389;309;SC;464
712;310;Rio de Janeiro;714
538;311;SP;541
533;312;Pernambuco;563
443;313;MG;457
572;314;Rio de Janeiro;574
927;315;São Paulo;941
860;316;SP;881
763;317;Minas Gerais;788
217;318;Bahia;244
733;319;Minas Gerais;745
73;320;RJ;100
83;321;RS;142
670;322;Rio Grande do Sul;700
99;323;Rio Grande do Sul;251
430;324;MG;443
291;325;PE;331
820;326;Ceará;827
156;327;MG;213
65;328;São Paulo;68
179;329;Paraná;195
95;330;Paraná;121
312;331;SP;327
954;332;PA;0
720;333;Bahia;775
40;334;SP;42
2;335;PR;18
492;336;Rio Grande do Sul;534
848;337;Bahia;851
387;338;São Paulo;392
878;339;Paraná;937
462;340;MG;502
973;341;RS;996
911;342;SP;947
477;343;São Paulo;491
414;344;Minas Gerais;426
339;345;SP;341
588;346;Maranhão;594
784;347;SP;799
416;348;RJ;481
899;349;MA;940
192;350;RJ;206
256;351;PE;285
949;352;GO;958
393;353;MA;454
682;354;São Paulo;701
202;355;BA;261
601;356;BA;608
249;357;Santa Catarina;308
513;358;São Paulo;520
883;359;RS;913
771;360;Maranhão;821
455;361;RS;461
681;362;Goiás;704
422;363;BA;489
311;364;BA;315
497;365;São Paulo;501
184;366;Minas Gerais;225
452;367;SP;459
434;368;Rio Grande do Sul;442
924;369;Rio Grande do Sul;932
317;370;Minas Gerais;348
18;371;PR;84
963;372;RJ;975
111;373;São Paulo;132
769;374;CE;776
302;375;MG;381
969;376;GO;0
717;377;MG;746
187;378;Goiás;228
340;379;Maranhão;342
159;380;São Paulo;163
234;381;São Paulo;243
36;382;MG;48
196;383;Rio de Janeiro;201
338;384;São Paulo;349
41;385;Rio de Janeiro;92
544;386;São Paulo;558
602;387;Maranhão;657
150;388;Pará;164
371;389;RJ;416
695;390;RJ;698
326;391;Bahia;354
356;392;Bahia;407
726;393;São Paulo;738
788;394;Minas Gerais;790
34;395;PB;145
126;396;SP;135
816;397;Minas Gerais;834
167;398;PE;223
694;399;Ceará;752
925;400;Bahia;929
919;401;São Paulo;920
930;402;Rio de Janeiro;933
348;403;Minas Gerais;358
762;404;SP;767
517;405;SP;519
43;406;Bahia;77
285;407;PE;291
975;408;RJ;990
991;409;Pernambuco;1000
98;410;Rio de Janeiro;196
732;411;PR;736
364;412;Minas Gerais;377
90;413;Goiás;187
908;414;São Paulo;919
488;415;Maranhão;494
595;416;São Paulo;597
510;417;Pará;518
900;418;Rio Grande do Sul;907
604;419;PE;626
124;420;Pernambuco;129
429;421;PB;529
262;422;GO;351
236;423;CE;270
81;424;MA;96
313;425;Minas Gerais;317
278;426;Rio Grande do Sul;283
415;427;MG;430
166;428;CE;183
697;429;Bahia;710
251;430;Rio Grande do Sul;278
115;431;Minas Gerais;134
32;432;RJ;73
485;433;PE;506
875;434;Paraíba;0
518;435;Pará;551
245;436;RS;292
56;437;Rio Grande do Sul;99
659;438;Minas Gerais;662
804;439;SP;823
487;440;Minas Gerais;505
915;441;RJ;963
147;442;Bahia;190
238;443;SP;248
822;444;PR;835
258;445;Minas Gerais;269
358;446;Minas Gerais;364
14;447;Ceará;22
252;448;Paraná;325
858;449;Minas Gerais;859
943;450;MG;950
933;451;Rio de Janeiro;935
699;452;PB;774
886;453;MG;903
483;454;RS;496
503;455;São Paulo;512
185;456;GO;200
520;457;São Paulo;527
866;458;Ceará;891
30;459;Pará;46
161;460;Maranhão;177
194;461;RS;205
761;462;RS;883
953;463;MG;957
801;464;Bahia;812
907;465;Rio Grande do Sul;917
863;466;BA;868
951;467;MA;0
574;468;Rio de Janeiro;590
706;469;SC;765
117;470;SP;119
665;471;PR;668
760;472;MA;861
491;473;São Paulo;493
527;474;São Paulo;544
279;475;Pernambuco;295
947;476;SP;966
243;477;São Paulo;246
575;478;São Paulo;577
809;479;São Paulo;840
555;480;RS;561
39;481;SC;235
597;482;São Paulo;605
728;483;Rio de Janeiro;730
456;484;Minas Gerais;487
828;485;PE;850
512;486;São Paulo;513
423;487;SP;424
674;488;Rio de Janeiro;685
987;489;Ceará;0
288;490;BA;300
640;491;MG;641
645;492;Ceará;677
330;493;Pará;379
10;494;SP;17
547;495;Minas Gerais;556
626;496;PE;631
541;497;SP;546
104;498;MG;116
479;499;CE;525
71;500;Minas Gerais;86
838;501;Minas Gerais;858
379;502;Pará;410
718;503;PE;721
721;504;PE;750
216;505;Paraná;252
388;506;MG;391
623;507;São Paulo;624
713;508;MA;760
292;509;RS;343
420;510;São Paulo;427
1000;511;Pernambuco;0
211;512;Pará;330
607;513;São Paulo;613
692;514;Maranhão;716
740;515;RS;747
85;516;PE;167
64;517;MG;72
336;518;Rio Grande do Sul;345
66;519;MA;81
624;520;São Paulo;625
585;521;PE;604
121;522;Paraná;127
131;523;MG;148
625;524;São Paulo;635
363;525;São Paulo;366
716;526;Maranhão;766
23;527;PE;45
457;528;MG;462
24;529;SP;40
928;530;Minas Gerais;939
536;531;PA;553
523;532;SP;524
299;533;MG;302
461;534;RS;483
600;535;Rio de Janeiro;646
594;536;Maranhão;602
586;537;Rio Grande do Sul;592
42;538;SP;44
84;539;PR;102
125;540;MA;188
473;541;PR;476
598;542;RS;654
578;543;SP;618
319;544;Maranhão;340
281;545;Minas Gerais;284
9;546;São Paulo;27
729;547;SP;739
632;548;SP;642
738;549;São Paulo;741
112;550;PA;149
507;551;Bahia;528
767;552;SP;777
45;553;PE;85
836;554;Rio de Janeiro;845
227;555;São Paulo;234
894;556;PE;923
157;557;SP;171
882;558;Rio de Janeiro;889
967;559;Santa Catarina;0
668;560;PR;671
755;561;RJ;787
746;562;MG;780
944;563;São Paulo;968
705;564;São Paulo;715
222;565;SP;230
89;566;SP;91
988;567;Goiás;0
888;568;SP;890
893;569;Rio de Janeiro;930
833;570;Paraíba;875
921;571;BA;959
529;572;PB;617
683;573;Paraná;742
370;574;Rio de Janeiro;460
905;575;São Paulo;908
750;576;PE;779
219;577;SP;222
54;578;CE;106
265;579;MG;299
676;580;São Paulo;682
846;581;MG;847
215;582;Bahia;217
486;583;Rio Grande do Sul;492
142;584;RS;158
849;585;SP;855
590;586;Rio de Janeiro;599
377;587;Minas Gerais;386
515;588;MG;530
972;589;Minas Gerais;992
791;590;São Paulo;792
565;591;CE;579
677;592;Ceará;694
170;593;BA;172
134;594;Minas Gerais;184
324;595;Bahia;326
747;596;RS;761
57;597;SP;58
554;598;MA;567
950;599;MG;953
524;600;SP;535
240;601;MG;250
568;602;SP;578
593;603;São Paulo;595
789;604;São Paulo;791
397;605;Santa Catarina;680
724;606;Rio Grande do Sul;735
614;607;MA;647
323;608;Santa Catarina;347
376;609;Pernambuco;404
341;610;SP;346
569;611;MA;571
502;612;MG;515
704;613;Goiás;734
633;614;MG;640
553;615;PA;610
395;616;PR;440
824;617;Maranhão;0
504;618;Pernambuco;508
4;619;CE;54
328;620;SP;339
290;621;MA;333
450;622;Maranhão;488
687;623;MA;713
711;624;RS;740
174;625;SP;176
570;626;Bahia;582
136;627;BA;152
992;628;Minas Gerais;0
102;629;PR;103
521;630;BA;522
106;631;CE;118
435;632;SP;438
155;633;Paraná;179
365;634;GO;830
320;635;Ceará;350
293;636;Minas Gerais;313
817;637;Santa Catarina;871
268;638;SP;276
731;639;Minas Gerais;733
982;640;PR;0
810;641;MG;846
748;642;SP;754
923;643;PE;0
942;644;Rio de Janeiro;983
205;645;RS;207
275;646;Bahia;280
171;647;SP;173
827;648;Ceará;866
224;649;São Paulo;227
303;650;SP;305
535;651;SP;538
823;652;SP;825
7;653;GO;52
402;654;MG;415
484;655;Paraná;584
318;656;São Paulo;335
1;657;Pernambuco;122
144;658;Paraíba;255
636;659;Goiás;649
35;660;Maranhão;47
542;661;Rio Grande do Sul;586
378;662;São Paulo;380
671;663;PR;688
199;664;BA;202
873;665;Goiás;876
255;666;Paraíba;266
641;667;MG;660
508;668;Pernambuco;533
374;669;SP;384
417;670;SP;419
118;671;CE;166
218;672;RS;239
225;673;Minas Gerais;241
719;674;São Paulo;723
612;675;Minas Gerais;630
20;676;SC;39
613;677;São Paulo;615
151;678;RJ;153
853;679;MG;867
135;680;SP;140
359;681;SP;362
603;682;Ceará;645
652;683;BA;727
58;684;SP;59
599;685;Rio de Janeiro;600
857;686;Rio de Janeiro;862
906;687;Bahia;925
52;688;GO;113
229;689;Goiás;432
366;690;São Paulo;378
6;691;Minas Gerais;69
534;692;Rio Grande do Sul;542
580;693;PR;643
903;694;MG;914
460;695;Rio de Janeiro;472
286;696;SP;303
87;697;MG;97
629;698;Pará;663
496;699;RS;498
237;700;MG;240
511;701;BA;521
582;702;Bahia;616
75;703;SP;88
835;704;PR;837
426;705;Minas Gerais;437
467;706;MA;469
403;707;São Paulo;412
539;708;PE;585
438;709;SP;441
493;710;São Paulo;495
468;711;SP;478
309;712;São Paulo;316
540;713;PR;573
610;714;PA;678
61;715;São Paulo;65
758;716;SP;762
181;717;Ceará;203
120;718;Maranhão;161
248;719;SP;259
109;720;SP;117
957;721;MG;964
203;722;Ceará;267
153;723;RJ;160
195;724;Paraná;216
329;725;Paraíba;690
606;726;Rio Grande do Sul;656
700;727;Rio Grande do Sul;724
805;728;RJ;811
981;729;São Paulo;994
27;730;São Paulo;29
818;731;Pará;819
703;732;Santa Catarina;759
522;733;BA;589
399;734;BA;411
615;735;São Paulo;623
499;736;Rio de Janeiro;500
630;737;Minas Gerais;638
469;738;MA;471
29;739;São Paulo;31
269;740;Minas Gerais;281
405;741;Minas Gerais;414
230;742;SP;231
386;743;Minas Gerais;405
655;744;SP;675
272;745;BA;277
146;746;PB;429
307;747;São Paulo;309
145;748;PB;146
449;749;Maranhão;450
261;750;BA;272
77;751;Bahia;82
505;752;Minas Gerais;514
715;753;São Paulo;719
558;754;São Paulo;566
173;755;SP;174
779;756;PE;806
808;757;Rio de Janeiro;831
308;758;Santa Catarina;314
707;759;SP;729
357;760;CE;375
737;761;CE;764
13;762;RJ;32
909;763;Ceará;936
926;764;São Paulo;927
638;765;Minas Gerais;659
664;766;Bahia;697
76;767;Pará;138
962;768;BA;976
263;769;Bahia;273
349;770;São Paulo;360
250;771;MG;260
714;772;Rio de Janeiro;728
790;773;Minas Gerais;816
226;774;PE;242
101;775;MG;104
901;776;São Paulo;902
197;777;Bahia;198
209;778;RJ;298
50;779;SP;53
786;780;São Paulo;789
577;781;São Paulo;591
929;782;Bahia;0
686;783;Santa Catarina;703
562;784;MG;611
347;785;Santa Catarina;397
884;786;SP;885
69;787;Minas Gerais;71
94;788;SP;109
579;789;CE;639
690;790;Paraíba;795
870;791;Goiás;873
778;792;Paraná;785
178;793;São Paulo;191
306;794;SP;312
800;795;MG;810
583;796;RS;596
701;797;São Paulo;705
257;798;GO;262
332;799;BA;337
335;800;São Paulo;338
898;801;Minas Gerais;918
796;802;RJ;805
821;803;Maranhão;824
851;804;Bahia;906
622;805;Pernambuco;667
862;806;Rio de Janeiro;882
274;807;CE;352
31;808;São Paulo;38
476;809;PR;480
977;810;São Paulo;978
105;811;Bahia;128
177;812;Maranhão;310
514;813;Minas Gerais;526
168;814;São Paulo;169
79;815;Maranhão;120
210;816;Rio de Janeiro;220
922;817;Minas Gerais;928
213;818;MG;237
260;819;MG;265
190;820;Bahia;197
806;821;PE;828
766;822;Maranhão;771
989;823;SP;0
596;824;RS;598
548;825;Maranhão;549
959;826;BA;962
960;827;RS;973
785;828;Paraná;839
369;829;PE;406
164;830;Pará;211
735;831;Rio Grande do Sul;757
264;832;SC;389
589;833;BA;601
993;834;Rio Grande do Sul;0
51;835;MG;64
663;836;Pará;672
877;837;Pernambuco;991
11;838;PA;93
696;839;Rio de Janeiro;712
885;840;SP;888
410;841;Pará;418
448;842;Maranhão;449
509;843;RS;555
500;844;Rio de Janeiro;560
563;845;Pernambuco;620
581;846;RJ;684
189;847;RS;194
373;848;SP;374
584;849;Paraná;683
60;850;Maranhão;79
176;851;SP;193
241;852;Minas Gerais;258
997;853;PB;0
327;854;SP;328
874;855;RJ;895
172;856;BA;175
294;857;São Paulo;304
573;858;PR;576
970;859;SC;979
979;860;SC;984
745;861;Minas Gerais;763
122;862;Pernambuco;124
103;863;PR;110
297;864;Rio de Janeiro;322
322;865;Rio de Janeiro;334
480;866;PR;540
708;867;Minas Gerais;731
48;868;MG;49
549;869;Maranhão;550
847;870;MG;853
384;871;SP;398
162;872;RJ;182
494;873;Maranhão;531
431;874;Maranhão;445
280;875;Bahia;324
855;876;SP;860
428;877;Bahia;470
409;878;RS;455
26;879;BA;33
912;880;GO;949
411;881;BA;421
998;882;Paraná;0
550;883;Maranhão;588
644;884;São Paulo;648
154;885;PA;165
811;886;RJ;815
475;887;São Paulo;477
91;888;SP;94
560;889;Rio de Janeiro;572
143;890;SP;157
201;891;Rio de Janeiro;204
657;892;Maranhão;673
137;893;São Paulo;139
691;894;MG;709
471;895;MA;554
3;896;Rio Grande do Sul;56
346;897;SP;359
466;898;São Paulo;475
864;899;Pernambuco;877
932;900;Rio Grande do Sul;948
936;901;Ceará;946
660;902;MG;669
854;903;GO;912
396;904;CE;425
986;905;Ceará;987
971;906;Pará;0
439;907;PE;485
406;908;PE;439
797;909;Rio de Janeiro;808
231;910;SP;233
267;911;Ceará;289
442;912;Rio Grande do Sul;486
375;913;CE;396
470;914;Bahia;482
433;915;Pernambuco;463
839;916;Paraná;878
472;917;Rio de Janeiro;474
482;918;Bahia;507
383;919;Rio Grande do Sul;390
128;920;Bahia;147
223;921;PE;226
896;922;PR;931
781;923;São Paulo;783
316;924;São Paulo;318
440;925;PR;473
289;926;Ceará;320
270;927;CE;274
742;928;Paraná;778
793;929;SC;970
353;930;Maranhão;431
100;931;RJ;108
451;932;Pará;510
952;933;Paraná;998
188;934;MA;247
110;935;PR;395
653;936;Bahia;664
759;937;Santa Catarina;794
880;938;Goiás;910
812;939;Bahia;832
669;940;MG;691
350;941;Ceará;603
427;942;São Paulo;444
140;943;SP;143
567;944;MA;569
948;945;Rio Grande do Sul;955
362;946;SP;373
158;947;RS;189
333;948;MA;393
634;949;PE;718
191;950;São Paulo;208
752;951;Ceará;820
830;952;GO;854
380;953;São Paulo;382
996;954;RS;0
889;955;Rio de Janeiro;893
253;956;Bahia;263
385;957;BA;399
244;958;Bahia;253
832;959;Bahia;848
774;960;PB;995
86;961;Minas Gerais;115
425;962;CE;465
139;963;São Paulo;159
458;964;São Paulo;466
917;965;Rio Grande do Sul;924
946;966;Ceará;986
180;967;BA;199
920;968;São Paulo;926
372;969;BA;385
525;970;CE;565
841;971;SP;849
965;972;MG;0
129;973;Pernambuco;214
404;974;Pernambuco;408
643;975;PR;651
646;976;Rio de Janeiro;674
620;977;Pernambuco;622
528;978;Bahia;570
795;979;Paraíba;833
856;980;RJ;874
412;981;São Paulo;413
532;982;Goiás;619
298;983;RJ;301
842;984;Pará;897
62;985;SP;67
608;986;BA;609
382;987;São Paulo;387
587;988;Minas Gerais;612
736;989;PR;802
994;990;São Paulo;0
680;991;Santa Catarina;686
937;992;Paraná;952
868;993;BA;869
325;994;Paraná;361
63;995;Santa Catarina;74
165;996;PA;436
865;997;São Paulo;872
80;998;São Paulo;107
619;999;Goiás;636
787;1000;RJ;796
