ED;ID;Salario
259;76;R$7,906
260;819;R$9,020
261;750;R$5,927
262;422;R$7,702
263;769;R$5,626
264;832;R$9,775
265;579;R$6,409
266;104;R$9,594
267;911;R$8,610
268;638;R$8,177
269;740;R$7,131
270;927;R$7,657
271;213;R$7,213
272;745;R$6,306
273;7;R$8,442
274;807;R$6,120
275;646;R$6,731
276;139;R$9,465
277;40;R$6,928
278;426;R$8,012
279;475;R$5,436
280;875;R$6,442
281;545;R$8,817
282;49;R$7,525
283;292;R$5,252
284;37;R$5,557
285;407;R$9,432
286;696;R$9,881
287;287;R$6,467
288;490;R$5,350
289;926;R$5,497
290;621;R$6,524
291;325;R$9,702
292;509;R$8,725
293;636;R$5,562
294;857;R$9,752
295;172;R$7,349
296;84;R$9,368
297;864;R$6,539
298;983;R$6,783
299;533;R$5,291
300;44;R$7,210
301;157;R$8,960
302;375;R$8,169
303;650;R$8,873
304;56;R$6,444
305;279;R$7,908
306;794;R$7,535
307;747;R$7,839
308;758;R$6,050
309;712;R$7,672
310;3;R$5,300
311;364;R$9,999
312;331;R$8,870
313;425;R$9,423
314;278;R$7,760
315;91;R$9,423
316;924;R$8,414
317;370;R$7,254
318;656;R$9,904
319;544;R$6,149
320;635;R$8,755
321;200;R$6,379
322;865;R$6,401
323;608;R$5,511
324;595;R$6,388
325;994;R$9,008
326;391;R$8,729
327;854;R$7,271
328;620;R$6,612
329;725;R$9,633
330;493;R$8,848
331;297;R$7,430
332;799;R$5,225
333;948;R$8,165
334;147;R$5,452
335;800;R$6,175
336;518;R$6,669
337;272;R$9,168
338;384;R$9,090
339;345;R$5,414
340;379;R$5,272
341;610;R$9,380
342;178;R$8,764
343;118;R$8,486
344;206;R$6,657
345;123;R$6,368
346;897;R$6,982
347;785;R$8,211
348;403;R$6,028
349;770;R$9,226
350;941;R$7,558
351;212;R$5,919
352;175;R$6,601
353;930;R$7,101
354;126;R$9,756
355;117;R$6,197
356;392;R$8,053
357;760;R$9,928
358;446;R$7,738
359;681;R$5,587
360;245;R$9,177
361;108;R$8,012
362;946;R$7,570
363;525;R$8,052
364;412;R$5,271
365;634;R$6,557
366;690;R$7,448
367;89;R$8,688
368;152;R$6,514
369;829;R$9,580
370;574;R$6,176
371;389;R$5,663
372;969;R$9,523
373;848;R$9,577
374;669;R$7,335
375;913;R$5,907
376;609;R$8,255
377;587;R$8,086
378;662;R$8,169
379;502;R$9,679
380;953;R$6,688
381;280;R$6,321
382;987;R$5,991
383;919;R$5,524
384;871;R$9,891
385;957;R$8,720
386;743;R$5,057
387;338;R$5,441
388;506;R$9,193
389;309;R$7,373
390;160;R$7,824
391;305;R$5,986
392;102;R$9,771
393;353;R$5,466
394;189;R$6,534
395;616;R$5,017
396;904;R$8,822
397;605;R$7,835
398;62;R$8,281
399;734;R$5,707
400;205;R$5,026
401;109;R$7,784
402;654;R$8,349
403;707;R$5,439
404;974;R$7,064
405;741;R$8,603
406;908;R$9,973
407;247;R$8,400
408;243;R$5,794
409;878;R$7,425
410;841;R$6,368
411;881;R$6,518
412;981;R$6,796
413;233;R$5,755
414;344;R$8,482
415;427;R$6,644
416;348;R$5,646
417;670;R$9,872
418;255;R$9,219
419;269;R$6,292
420;510;R$7,159
421;24;R$5,985
422;363;R$9,336
423;487;R$7,551
424;81;R$9,259
425;962;R$6,564
426;705;R$8,269
427;942;R$8,621
428;877;R$5,852
429;421;R$8,734
430;324;R$8,521
431;874;R$5,609
432;285;R$5,111
433;915;R$7,535
434;368;R$7,543
435;632;R$9,057
436;251;R$8,628
437;263;R$7,356
438;709;R$7,320
439;907;R$7,749
440;925;R$5,522
441;141;R$7,425
442;912;R$7,567
443;313;R$9,240
444;170;R$6,450
445;277;R$5,782
446;306;R$9,588
447;132;R$9,658
448;842;R$5,495
449;749;R$9,564
450;622;R$7,914
451;932;R$6,192
452;367;R$5,035
453;168;R$8,888
454;122;R$6,586
455;361;R$8,164
456;484;R$7,508
457;528;R$6,730
458;964;R$6,282
459;12;R$5,334
460;695;R$8,906
461;534;R$7,850
462;340;R$6,813
463;17;R$9,985
464;144;R$8,780
465;232;R$5,155
466;898;R$7,370
467;706;R$7,573
468;711;R$7,964
469;738;R$7,653
470;914;R$6,911
471;895;R$9,955
472;917;R$5,435
473;541;R$8,234
474;236;R$6,314
475;887;R$8,307
476;809;R$8,835
477;343;R$9,835
478;151;R$9,573
479;499;R$7,082
480;866;R$7,124
481;19;R$8,867
482;918;R$7,402
483;454;R$9,788
484;655;R$6,688
485;433;R$8,709
486;583;R$7,212
487;440;R$6,033
488;415;R$8,702
489;203;R$6,417
490;231;R$8,279
491;473;R$7,890
492;336;R$8,704
493;710;R$7,381
494;873;R$8,469
495;51;R$9,425
496;699;R$5,012
497;365;R$9,776
498;10;R$6,270
499;736;R$9,232
500;844;R$5,492
501;290;R$7,784
502;612;R$8,349
503;455;R$5,439
504;618;R$7,064
505;752;R$8,603
506;250;R$9,973
507;551;R$8,400
508;668;R$5,794
509;843;R$7,425
510;417;R$6,368
511;701;R$6,518
512;486;R$6,796
513;358;R$5,755
514;813;R$8,482
515;588;R$6,644
516;77;R$5,646
517;405;R$9,872
518;435;R$9,219
519;119;R$6,292
520;457;R$7,159
521;630;R$5,985
522;733;R$9,336
523;532;R$7,551
524;600;R$9,259
525;970;R$6,564
526;295;R$8,269
527;474;R$8,621
528;978;R$5,852
529;572;R$8,734
530;155;R$8,521
531;92;R$5,609
532;982;R$5,111
533;312;R$7,535
534;692;R$7,543
535;651;R$9,057
536;531;R$8,628
537;149;R$7,356
538;311;R$7,320
539;708;R$7,749
540;713;R$5,522
541;497;R$7,425
542;661;R$7,567
543;58;R$9,240
544;386;R$6,450
545;47;R$5,782
546;193;R$9,588
547;495;R$9,658
548;825;R$5,495
549;869;R$9,564
550;883;R$7,914
551;21;R$6,192
552;207;R$5,035
553;615;R$8,888
554;598;R$6,586
555;480;R$8,164
556;270;R$7,508
557;184;R$6,730
558;754;R$6,282
559;15;R$5,334
560;889;R$8,906
561;35;R$7,850
562;784;R$6,813
563;845;R$9,985
564;33;R$8,780
565;591;R$5,155
566;177;R$7,370
567;944;R$7,573
568;602;R$7,964
569;611;R$7,653
570;626;R$6,911
571;83;R$9,955
572;314;R$5,435
573;858;R$8,234
574;468;R$6,314
575;478;R$8,307
576;163;R$8,835
577;781;R$9,835
578;543;R$9,573
579;789;R$7,082
580;693;R$7,124
581;846;R$8,867
582;702;R$7,402
583;796;R$9,788
584;849;R$6,688
585;521;R$8,709
586;537;R$7,212
587;988;R$6,033
588;346;R$8,702
589;833;R$6,417
590;586;R$8,279
591;307;R$7,890
592;217;R$8,704
593;603;R$7,381
594;536;R$8,469
595;416;R$9,425
596;824;R$5,012
597;482;R$9,776
598;542;R$6,270
599;685;R$9,232
600;535;R$5,492
601;356;R$5,050
602;387;R$9,606
603;682;R$6,423
604;419;R$8,065
605;23;R$8,054
606;726;R$8,795
607;513;R$5,001
608;986;R$8,160
609;202;R$6,697
610;714;R$9,335
611;258;R$8,425
612;675;R$8,293
613;677;R$9,288
614;607;R$5,473
615;735;R$6,465
616;20;R$9,959
617;127;R$7,145
618;54;R$6,694
619;999;R$9,582
620;977;R$5,051
621;254;R$5,607
622;805;R$5,335
623;507;R$9,468
624;520;R$8,557
625;524;R$8,236
626;496;R$9,133
627;60;R$8,182
628;46;R$8,661
629;698;R$7,200
630;737;R$8,248
631;16;R$6,606
632;548;R$7,867
633;614;R$8,199
634;949;R$8,890
635;136;R$9,019
636;659;R$8,334
637;115;R$7,023
638;765;R$8,917
639;112;R$9,734
640;491;R$7,467
641;667;R$7,203
642;140;R$9,400
643;975;R$6,302
644;884;R$9,458
645;492;R$5,143
646;976;R$8,057
647;303;R$6,971
648;198;R$9,816
649;120;R$9,167
650;289;R$8,017
651;301;R$6,629
652;683;R$5,564
653;936;R$8,385
654;55;R$5,214
655;744;R$9,692
656;208;R$7,995
657;892;R$7,793
658;59;R$8,988
659;438;R$6,909
660;902;R$8,753
661;98;R$5,241
662;116;R$9,053
663;836;R$8,806
664;766;R$9,064
665;471;R$9,073
666;196;R$7,981
667;114;R$7,553
668;560;R$6,745
669;940;R$9,076
670;322;R$8,690
671;663;R$7,265
672;28;R$8,364
673;153;R$6,185
674;488;R$9,912
675;129;R$8,560
676;580;R$5,219
677;592;R$7,148
678;242;R$7,099
679;159;R$6,634
680;991;R$5,911
681;362;R$9,204
682;354;R$9,503
683;573;R$6,421
684;42;R$9,412
685;298;R$9,945
686;783;R$6,724
687;623;R$9,391
688;30;R$6,960
689;267;R$9,453
690;790;R$5,362
691;894;R$6,696
692;514;R$8,518
693;241;R$9,463
694;399;R$8,767
695;390;R$9,919
696;839;R$7,501
697;429;R$8,053
698;22;R$9,422
699;452;R$5,635
700;727;R$7,952
701;797;R$8,902
702;11;R$9,986
703;732;R$8,070
704;613;R$8,993
705;564;R$5,943
706;469;R$5,468
707;759;R$8,359
708;867;R$5,835
709;225;R$9,992
710;158;R$5,026
711;624;R$9,365
712;310;R$5,007
713;508;R$8,884
714;772;R$7,828
715;753;R$8,750
716;526;R$7,429
717;377;R$8,988
718;503;R$9,724
719;674;R$5,168
720;333;R$6,811
721;504;R$6,539
722;308;R$6,431
723;31;R$6,391
724;606;R$8,701
725;36;R$6,471
726;393;R$6,683
727;284;R$8,585
728;483;R$8,254
729;547;R$5,730
730;190;R$8,653
731;639;R$9,656
732;411;R$6,002
733;319;R$9,142
734;229;R$9,131
735;831;R$7,485
736;989;R$6,981
737;761;R$5,401
738;549;R$9,105
739;211;R$9,093
740;515;R$8,508
741;191;R$9,556
742;928;R$7,579
743;107;R$6,417
744;70;R$8,864
745;861;R$7,793
746;562;R$6,471
747;596;R$5,882
748;642;R$6,749
749;25;R$7,674
750;576;R$8,831
751;154;R$6,503
752;951;R$6,088
753;94;R$8,552
754;48;R$5,929
755;561;R$5,875
756;192;R$9,685
757;262;R$9,682
758;716;R$6,085
759;937;R$5,796
760;472;R$6,308
761;462;R$9,092
762;404;R$7,711
763;317;R$6,618
764;138;R$9,354
765;222;R$7,245
766;822;R$7,037
767;552;R$5,688
768;244;R$7,681
769;374;R$7,522
770;268;R$9,921
771;360;R$5,283
772;300;R$6,706
773;256;R$9,931
774;960;R$7,998
775;302;R$9,270
776;288;R$9,077
777;194;R$6,784
778;792;R$7,518
779;756;R$7,175
780;195;R$7,350
781;923;R$8,897
782;264;R$6,463
783;95;R$5,573
784;347;R$7,603
785;828;R$6,010
786;780;R$5,493
787;1000;R$6,088
788;394;R$6,639
789;604;R$9,612
790;773;R$9,745
791;590;R$5,021
792;257;R$5,277
793;929;R$7,994
794;164;R$5,444
795;979;R$7,104
796;802;R$5,129
797;909;R$8,143
798;180;R$9,392
799;227;R$8,331
800;795;R$6,698
801;464;R$5,531
802;186;R$8,947
803;68;R$5,412
804;439;R$8,151
805;728;R$9,316
806;821;R$8,249
807;5;R$6,882
808;757;R$7,639
809;479;R$5,856
810;641;R$6,228
811;886;R$5,754
812;939;R$6,743
813;133;R$6,553
814;111;R$7,643
815;182;R$9,976
816;397;R$5,300
817;637;R$5,940
818;731;R$5,582
819;125;R$7,591
820;326;R$9,602
821;803;R$9,419
822;444;R$7,933
823;652;R$8,358
824;617;R$8,637
825;239;R$6,827
826;187;R$9,120
827;648;R$9,295
828;485;R$9,728
829;214;R$5,853
830;952;R$8,111
831;282;R$8,133
832;959;R$9,379
833;570;R$7,120
834;271;R$9,236
835;704;R$6,160
836;554;R$5,933
837;274;R$7,941
838;501;R$9,591
839;916;R$5,492
840;283;R$7,155
841;971;R$9,875
842;984;R$9,747
843;93;R$8,818
844;179;R$5,919
845;8;R$8,560
846;581;R$9,155
847;870;R$8,825
848;337;R$5,517
849;585;R$7,671
850;299;R$7,336
851;804;R$7,638
852;26;R$7,923
853;679;R$9,137
854;903;R$5,346
855;876;R$7,788
856;980;R$5,978
857;686;R$7,660
858;449;R$9,377
859;142;R$9,349
860;316;R$6,118
861;162;R$5,335
862;806;R$6,915
863;466;R$5,238
864;899;R$9,215
865;997;R$6,874
866;458;R$7,849
867;2;R$9,636
868;993;R$7,033
869;121;R$7,876
870;791;R$7,632
871;14;R$8,970
872;181;R$7,949
873;665;R$7,623
874;855;R$8,674
875;434;R$5,771
876;188;R$8,304
877;837;R$7,668
878;339;R$7,188
879;150;R$6,924
880;938;R$9,976
881;64;R$8,481
882;558;R$8,542
883;359;R$8,788
884;786;R$5,520
885;840;R$5,824
886;453;R$7,671
887;65;R$7,544
888;568;R$6,902
889;955;R$8,648
890;9;R$6,386
891;293;R$8,985
892;185;R$9,745
893;569;R$8,122
894;556;R$9,565
895;124;R$5,957
896;922;R$9,108
897;291;R$5,647
898;801;R$5,863
899;349;R$9,154
900;418;R$6,737
901;776;R$8,083
902;100;R$6,633
903;694;R$6,660
904;69;R$6,550
905;575;R$5,816
906;687;R$9,147
907;465;R$6,590
908;414;R$9,551
909;763;R$8,648
910;103;R$7,621
911;342;R$7,451
912;880;R$8,972
913;224;R$9,837
914;6;R$5,099
915;441;R$6,399
916;146;R$8,811
917;965;R$5,749
918;32;R$8,089
919;401;R$6,708
920;968;R$9,227
921;571;R$6,689
922;817;R$5,346
923;643;R$8,272
924;369;R$7,367
925;400;R$6,265
926;764;R$8,042
927;315;R$6,372
928;530;R$8,473
929;782;R$7,107
930;402;R$6,637
931;176;R$9,754
932;900;R$9,737
933;451;R$9,059
934;87;R$8,596
935;265;R$8,204
936;901;R$7,192
937;992;R$9,325
938;90;R$5,242
939;235;R$6,277
940;50;R$5,868
941;174;R$8,972
942;644;R$9,341
943;450;R$5,455
944;563;R$5,081
945;99;R$7,855
946;966;R$6,099
947;476;R$5,290
948;945;R$8,246
949;352;R$8,286
950;599;R$5,729
951;467;R$8,407
952;933;R$6,686
953;463;R$6,009
954;332;R$6,043
955;41;R$8,267
956;128;R$6,873
957;721;R$7,608
958;101;R$8,601
959;826;R$8,111
960;827;R$5,879
961;1;R$5,765
962;768;R$5,270
963;372;R$6,807
964;78;R$7,663
965;972;R$7,219
966;228;R$7,267
967;559;R$5,388
968;137;R$8,651
969;376;R$9,549
970;859;R$9,252
971;906;R$7,530
972;589;R$6,782
973;341;R$5,616
974;281;R$7,572
975;408;R$8,267
976;261;R$9,571
977;810;R$6,278
978;86;R$8,309
979;860;R$5,246
980;215;R$7,386
981;729;R$8,577
982;640;R$9,187
983;246;R$6,704
984;134;R$5,801
985;201;R$8,053
986;905;R$9,240
987;489;R$6,666
988;567;R$6,807
989;823;R$8,224
990;4;R$7,724
991;409;R$7,624
992;628;R$5,057
993;834;R$9,875
994;990;R$6,296
995;45;R$6,966
996;954;R$7,483
997;853;R$8,309
998;882;R$5,759
999;220;R$8,427
1000;511;R$9,750
