ED;ID;Data_Nascimento;Prox.Data_Nascimento
594;536;01/11/81;0
586;537;16/06/74;0
42;538;25/05/77;0
84;539;05/03/44;454
125;540;09/02/35;0
473;541;20/05/48;573
598;542;02/12/46;0
578;543;25/12/80;0
319;544;26/05/48;0
281;545;25/11/99;0
9;546;18/10/31;0
729;547;16/06/10;0
632;548;13/12/54;0
738;549;08/06/77;0
112;550;01/09/73;0
507;551;18/12/85;0
767;552;22/07/62;0
45;553;06/05/59;0
836;554;28/07/69;0
227;555;14/06/87;0
894;556;09/08/87;0
157;557;17/09/07;0
882;558;11/06/17;0
967;559;17/08/84;0
668;560;30/10/98;0
755;561;02/03/97;0
746;562;03/06/48;0
944;563;15/08/82;0
705;564;17/03/02;0
222;565;10/09/99;0
89;566;25/02/31;0
988;567;11/04/82;0
888;568;08/05/06;0
893;569;18/10/12;0
833;570;15/07/45;978
921;571;01/09/94;0
529;572;28/03/16;0
683;573;10/05/78;0
370;574;08/03/59;0
905;575;24/03/05;0
750;576;15/11/98;0
219;577;03/01/31;0
54;578;06/06/52;0
265;579;16/07/87;0
676;580;15/12/67;0
846;581;05/09/67;0
215;582;16/08/78;0
486;583;16/06/74;586
142;584;25/05/61;0
849;585;10/02/03;0
590;586;04/06/59;0
377;587;18/01/98;0
515;588;19/12/05;0
972;589;03/05/91;0
791;590;22/02/91;0
565;591;06/02/40;0
677;592;16/08/91;0
170;593;07/05/37;0
134;594;19/02/02;0
324;595;22/05/35;0
747;596;23/09/62;0
57;597;24/11/40;0
554;598;05/03/44;0
950;599;01/02/55;0
524;600;04/07/87;0
240;601;05/12/38;0
568;602;07/08/04;0
593;603;13/02/04;0
789;604;16/11/01;0
397;605;21/03/84;0
724;606;27/06/73;0
614;607;10/10/91;0
323;608;07/09/30;0
376;609;24/03/49;0
341;610;22/09/77;0
569;611;08/11/01;0
502;612;05/09/62;0
704;613;21/02/06;0
633;614;28/04/09;0
553;615;12/07/84;863
395;616;26/08/70;0
824;617;20/06/69;0
504;618;13/06/07;0
4;619;10/07/88;0
328;620;29/07/33;0
290;621;10/04/07;0
450;622;21/02/34;550
687;623;30/11/37;0
711;624;21/03/35;0
174;625;02/08/69;0
570;626;13/11/72;0
136;627;23/06/62;0
992;628;01/08/67;0
102;629;19/01/65;0
521;630;09/01/30;0
106;631;17/08/01;0
435;632;12/12/89;535
155;633;11/08/61;0
365;634;26/07/66;0
320;635;31/08/51;0
293;636;28/08/65;0
817;637;21/03/95;0
268;638;10/09/52;0
731;639;06/11/41;0
982;640;07/02/96;0
810;641;06/04/34;0
748;642;06/06/63;0
923;643;21/07/08;0
942;644;29/08/00;0
205;645;21/09/86;0
275;646;30/06/83;0
171;647;14/10/88;0
827;648;16/12/42;0
224;649;20/02/32;0
303;650;01/07/75;0
535;651;12/12/89;0
823;652;01/09/12;0
7;653;28/07/51;0
402;654;05/09/62;502
484;655;30/07/65;584
318;656;17/12/77;0
1;657;26/12/35;0
144;658;03/06/58;0
636;659;29/04/39;0
35;660;17/01/56;0
542;661;04/09/99;0
378;662;04/12/10;0
671;663;19/05/82;0
199;664;05/08/05;0
873;665;19/03/52;0
255;666;15/06/31;0
641;667;24/08/59;0
508;668;18/06/18;0
374;669;04/02/78;0
417;670;24/08/87;517
118;671;30/04/54;0
218;672;07/01/58;0
225;673;10/02/30;0
719;674;04/01/81;0
612;675;11/01/61;0
20;676;09/04/94;0
613;677;18/03/39;0
151;678;21/12/48;0
853;679;21/09/03;0
135;680;19/10/03;0
359;681;02/07/97;0
603;682;19/07/00;0
652;683;15/02/47;0
58;684;08/03/76;0
599;685;12/12/53;0
857;686;20/06/55;0
906;687;25/04/61;0
52;688;15/11/50;0
229;689;07/08/75;0
366;690;01/01/12;0
6;691;06/07/85;0
534;692;22/07/73;0
580;693;02/05/45;0
903;694;05/07/36;0
460;695;03/01/94;560
286;696;30/03/57;0
87;697;09/09/74;0
629;698;07/09/70;0
496;699;24/04/39;596
237;700;08/12/11;0
511;701;20/05/74;0
582;702;10/01/93;0
75;703;27/01/51;0
835;704;06/08/88;0
426;705;08/08/00;526
467;706;23/03/93;567
403;707;21/01/00;503
539;708;25/02/66;0
438;709;19/12/39;538
493;710;13/02/04;593
468;711;07/08/04;568
309;712;26/09/04;0
540;713;15/02/44;0
610;714;10/08/06;0
61;715;26/08/05;0
758;716;03/04/47;0
181;717;24/08/68;0
120;718;30/05/51;0
248;719;22/08/83;0
109;720;13/05/35;0
957;721;07/05/11;0
203;722;11/05/75;0
153;723;11/01/66;0
195;724;14/08/71;0
329;725;18/03/36;0
606;726;07/06/46;0
700;727;18/06/69;0
805;728;17/06/98;0
981;729;21/12/05;0
27;730;18/12/58;0
818;731;08/04/87;0
703;732;01/06/31;0
522;733;04/11/92;0
399;734;05/08/51;0
615;735;30/04/18;0
499;736;12/12/53;599
630;737;20/03/81;0
469;738;08/11/01;569
29;739;19/01/36;0
269;740;08/03/72;0
405;741;08/08/36;505
230;742;02/08/41;0
386;743;24/01/69;0
655;744;16/04/80;0
272;745;28/04/65;0
146;746;01/09/02;0
307;747;19/01/59;0
145;748;08/12/77;0
449;749;08/08/47;549
261;750;13/09/52;0
77;751;05/12/37;0
505;752;08/08/36;0
715;753;30/12/89;0
558;754;19/12/66;0
173;755;28/09/98;0
779;756;15/11/49;0
808;757;24/11/87;0
308;758;07/08/58;0
707;759;03/02/86;0
357;760;29/12/31;0
737;761;05/10/46;0
13;762;09/03/68;0
909;763;06/07/00;0
926;764;09/06/94;0
638;765;08/06/35;0
664;766;15/06/85;0
76;767;16/09/94;0
962;768;10/07/34;0
263;769;27/08/62;0
349;770;21/04/99;0
250;771;14/12/72;0
714;772;26/03/44;0
790;773;22/01/73;0
226;774;09/10/63;0
101;775;07/09/78;0
901;776;06/04/44;0
197;777;10/08/05;0
209;778;11/04/04;0
50;779;26/07/12;0
786;780;29/07/74;0
577;781;14/10/67;0
929;782;01/06/10;0
686;783;24/01/87;0
562;784;14/08/12;0
347;785;30/09/68;0
884;786;18/05/15;0
69;787;20/05/13;0
94;788;20/04/85;0
579;789;26/07/83;0
690;790;11/06/82;0
870;791;05/06/03;0
778;792;11/07/60;0
178;793;27/04/02;0
306;794;29/01/48;852
800;795;27/08/78;0
583;796;06/01/08;0
701;797;27/06/85;0
257;798;14/11/93;0
332;799;08/11/44;0
335;800;17/03/35;375
898;801;05/08/53;0
796;802;29/03/32;0
821;803;05/11/14;0
851;804;24/08/63;0
622;805;11/07/04;0
862;806;19/04/32;0
274;807;07/06/01;0
31;808;20/03/77;0
476;809;25/11/51;576
977;810;28/06/02;0
105;811;01/02/34;0
177;812;29/07/75;0
514;813;19/08/92;0
168;814;29/04/54;0
79;815;31/01/56;0
210;816;13/07/05;0
922;817;13/02/79;0
213;818;13/08/86;0
260;819;24/04/39;496
190;820;22/06/01;0
806;821;20/08/35;0
766;822;17/02/16;0
989;823;03/05/31;0
596;824;24/04/39;0
548;825;02/06/62;0
959;826;14/05/53;0
960;827;04/01/08;0
785;828;20/02/30;0
369;829;26/08/85;0
164;830;30/01/07;0
735;831;30/10/10;0
264;832;18/08/03;0
589;833;24/03/46;0
993;834;26/12/56;0
51;835;25/06/06;0
663;836;18/07/93;0
877;837;01/09/14;0
11;838;13/01/03;0
696;839;02/01/03;0
885;840;10/08/47;0
410;841;26/04/32;510
448;842;02/06/62;548
509;843;24/06/66;0
500;844;16/03/31;600
563;845;28/01/94;0
581;846;01/05/62;0
189;847;01/04/37;0
373;848;13/04/16;0
584;849;30/07/65;0
60;850;23/07/90;0
176;851;02/04/41;0
241;852;16/07/91;697
997;853;09/07/12;0
327;854;06/05/50;0
874;855;23/12/72;0
172;856;26/01/42;0
294;857;02/02/62;0
573;858;20/05/48;0
970;859;06/01/85;0
979;860;21/02/81;0
745;861;16/07/35;0
122;862;01/01/04;0
103;863;05/06/92;0
297;864;18/10/17;0
322;865;18/07/79;0
480;866;02/05/45;580
708;867;08/07/76;0
48;868;22/05/54;0
549;869;08/08/47;0
847;870;10/03/66;0
384;871;23/07/84;0
162;872;09/06/71;0
494;873;01/11/81;594
431;874;30/12/57;531
280;875;15/05/69;0
855;876;25/09/97;0
428;877;23/11/31;528
409;878;24/06/66;509
26;879;02/08/18;0
912;880;20/03/17;0
411;881;20/05/74;511
998;882;26/08/44;0
550;883;21/02/34;0
644;884;20/06/78;0
154;885;17/05/85;0
811;886;23/05/56;0
475;887;14/06/77;575
91;888;21/12/80;0
560;889;03/01/94;0
143;890;08/05/59;0
201;891;01/01/84;0
657;892;11/06/54;0
137;893;07/08/18;0
691;894;20/07/56;0
471;895;26/11/57;571
3;896;26/03/17;0
346;897;20/07/73;0
466;898;29/07/17;566
864;899;19/10/55;0
932;900;06/12/42;0
936;901;27/10/93;0
660;902;07/10/66;0
854;903;05/11/10;0
396;904;06/08/02;0
986;905;01/03/94;0
971;906;06/01/45;0
439;907;25/02/66;539
406;908;25/04/70;506
797;909;06/04/49;0
231;910;05/11/05;0
267;911;22/10/03;0
442;912;04/09/99;542
375;913;17/03/35;0
470;914;13/11/72;570
433;915;12/10/62;533
839;916;10/06/82;0
472;917;31/05/36;572
482;918;10/01/93;582
383;919;24/02/70;0
128;920;18/10/51;0
223;921;09/06/63;0
896;922;01/02/09;0
781;923;23/10/61;0
316;924;19/11/88;0
440;925;15/02/44;540
289;926;10/10/66;0
270;927;10/10/97;0
742;928;12/05/99;0
793;929;28/11/48;0
353;930;07/12/32;0
100;931;05/11/35;0
451;932;12/01/96;551
952;933;13/06/65;0
188;934;09/08/87;894
110;935;22/09/95;0
653;936;28/11/58;0
759;937;06/10/70;0
880;938;21/12/01;0
812;939;18/06/42;0
669;940;29/12/01;0
350;941;23/04/42;0
427;942;12/06/12;527
140;943;07/11/88;0
567;944;23/03/93;0
948;945;20/11/70;0
362;946;26/02/77;0
158;947;09/11/76;0
333;948;25/12/68;0
634;949;09/10/81;0
191;950;28/04/45;0
752;951;12/12/86;0
830;952;22/10/91;0
380;953;24/10/11;0
996;954;19/03/80;0
889;955;12/05/42;0
253;956;28/02/58;0
385;957;13/09/10;0
244;958;07/08/66;0
832;959;12/01/51;0
774;960;09/10/44;0
86;961;30/03/97;0
425;962;18/11/13;525
139;963;23/02/45;0
458;964;19/12/66;558
917;965;14/02/49;0
946;966;24/05/10;0
180;967;20/10/03;0
920;968;07/06/59;0
372;969;16/07/81;0
525;970;18/11/13;0
841;971;23/02/77;0
965;972;30/01/71;0
129;973;13/11/44;0
404;974;13/06/07;504
643;975;05/05/38;0
646;976;18/11/88;0
620;977;12/09/74;0
528;978;23/11/31;0
795;979;12/06/94;0
856;980;06/04/88;0
412;981;04/08/35;512
532;982;30/07/91;0
298;983;31/07/75;0
842;984;16/02/00;0
62;985;30/07/80;0
608;986;10/09/67;0
382;987;09/01/74;0
587;988;09/04/39;0
736;989;09/02/56;0
994;990;02/01/87;0
680;991;19/11/56;0
937;992;17/08/85;0
868;993;19/06/92;0
325;994;08/02/88;0
63;995;06/09/63;0
165;996;02/02/54;0
865;997;12/04/05;0
80;998;04/11/34;0
619;999;15/03/84;0
787;1000;19/03/36;0
