Data_Nascimento;Qtd;Prim
16/12/64;1;312
17/01/13;1;41
17/01/34;1;733
17/01/56;1;35
17/02/16;1;766
17/02/95;2;488
17/03/02;1;705
17/03/35;2;335
17/04/55;1;352
17/05/62;1;83
17/05/85;1;154
17/06/31;1;826
17/06/48;1;907
17/06/68;1;30
17/06/69;1;878
17/06/98;1;805
17/08/01;1;106
17/08/08;1;337
17/08/60;2;444
17/08/84;1;967
17/08/85;1;937
17/09/00;1;710
17/09/07;1;157
17/09/43;2;446
17/09/59;1;918
17/09/76;1;848
17/11/89;2;447
17/12/37;1;187
17/12/77;1;318
18/01/98;1;377
18/02/41;1;104
18/02/54;1;44
18/02/78;1;626
18/02/95;1;919
18/03/33;1;969
18/03/36;1;329
18/03/39;1;613
18/03/52;1;682
18/03/90;1;770
18/04/83;1;266
18/05/15;1;884
18/06/18;2;408
18/06/33;1;47
18/06/42;1;812
18/06/69;1;700
18/07/55;1;662
18/07/79;1;322
18/07/83;1;958
18/07/93;1;663
18/08/03;1;264
18/08/75;1;314
18/10/12;1;893
18/10/17;1;297
18/10/31;1;9
18/10/51;1;128
18/11/13;2;425
18/11/54;1;12
18/11/88;1;646
18/12/58;1;27
18/12/85;2;407
19/01/32;1;875
19/01/36;1;29
19/01/59;1;307
19/01/65;1;102
19/01/80;1;618
19/02/02;1;134
19/02/92;1;245
19/02/96;1;368
19/03/09;1;769
19/03/36;1;787
19/03/52;1;873
19/03/80;1;996
19/04/32;1;862
19/05/32;1;167
19/05/82;1;671
19/06/92;1;868
19/07/00;1;603
19/08/92;2;414
19/09/34;1;192
19/10/03;1;135
19/10/55;1;864
19/11/56;1;680
19/11/88;1;316
19/11/89;1;718
19/12/05;2;415
19/12/39;2;438
19/12/66;2;458
19/12/79;1;85
20/02/30;1;785
20/02/32;1;224
20/02/36;1;784
20/02/56;1;945
20/03/17;1;912
20/03/36;1;43
20/03/77;1;31
20/03/81;1;630
20/03/90;1;166
20/04/54;1;121
20/04/85;1;94
20/05/13;1;69
20/05/16;1;858
20/05/48;2;473
20/05/74;2;411
20/05/96;2;452
20/06/55;1;857
20/06/65;2;457
20/06/69;1;824
20/06/78;1;644
20/07/56;1;691
20/07/73;1;346
20/08/35;1;806
20/08/48;1;678
20/08/56;1;138
20/09/15;1;99
20/09/49;1;300
20/09/69;1;995
20/10/03;1;180
20/10/73;1;642
20/10/90;1;728
20/11/13;1;814
20/11/42;1;196
20/11/47;1;659
20/11/70;1;948
20/12/41;1;21
20/12/61;1;975
21/01/00;2;403
21/01/15;1;961
21/01/56;1;872
21/02/06;1;704
21/02/34;2;450
21/02/64;1;902
21/02/69;1;65
21/02/81;1;979
21/03/34;2;445
21/03/35;1;711
21/03/37;1;71
21/03/84;1;397
21/03/95;1;817
21/03/99;1;933
21/04/09;1;53
21/04/31;1;277
21/04/99;1;349
21/06/16;1;761
21/06/39;1;97
21/06/73;1;356
21/07/08;1;923
21/07/34;1;825
21/07/75;1;673
21/07/82;1;665
21/07/83;1;247
21/08/10;1;730
21/08/58;1;67
21/08/75;1;379
21/08/85;1;947
21/09/01;1;788
21/09/03;1;853
21/09/53;1;928
21/09/60;1;757
21/09/62;1;364
21/09/70;1;39
21/09/86;1;205
21/09/89;1;339
21/10/40;1;802
21/10/62;1;869
21/10/72;1;815
21/11/07;2;456
21/11/49;1;107
21/12/01;1;880
21/12/05;1;981
21/12/48;1;151
21/12/55;1;698
21/12/80;1;91
22/01/73;1;790
22/02/91;1;791
22/03/75;2;441
22/04/02;2;420
22/05/35;1;324
22/05/54;1;48
22/06/01;1;190
22/06/92;1;301
22/07/62;1;767
22/07/73;2;434
22/08/83;1;248
22/09/77;1;341
22/09/91;1;390
22/09/95;1;110
22/10/03;1;267
22/10/50;1;940
22/10/91;2;804
23/02/45;1;139
23/02/77;1;841
23/03/46;1;820
23/03/93;2;467
23/04/11;1;284
23/04/42;1;350
23/05/19;1;709
23/05/56;1;811
23/05/76;1;631
23/05/82;1;381
23/06/50;1;127
23/06/58;1;716
23/06/62;1;136
23/06/93;1;295
23/07/84;1;384
23/07/90;1;60
23/09/17;1;392
23/09/49;2;401
23/09/62;1;747
23/10/38;1;768
23/10/61;1;781
23/11/31;2;428
23/11/46;1;732
23/12/72;1;874
23/12/97;1;81
24/01/69;1;386
24/01/87;1;686
24/02/70;1;383
24/02/82;1;927
24/02/89;1;621
24/03/05;1;905
24/03/39;1;925
24/03/46;2;489
24/03/49;1;376
24/03/73;1;211
24/04/02;1;130
24/04/39;3;260
24/04/67;2;436
24/05/08;2;474
24/05/10;1;946
24/05/30;1;19
24/06/66;2;409
24/08/51;1;304
24/08/59;1;641
24/08/63;1;851
24/08/68;1;181
24/08/71;1;850
24/08/72;1;654
24/08/79;1;892
24/08/87;2;417
24/09/06;1;343
24/10/07;1;108
24/10/11;1;380
24/10/44;1;292
24/10/80;1;345
24/11/40;1;57
24/11/87;1;808
24/12/42;1;837
24/12/48;1;40
24/12/59;1;119
25/01/50;1;792
25/01/97;1;658
25/02/31;1;89
25/02/64;1;910
25/02/66;2;439
25/03/39;1;966
25/03/46;1;987
25/04/14;1;693
25/04/61;1;906
25/04/67;1;258
25/04/70;2;406
25/05/61;1;142
25/05/77;1;42
25/06/06;1;51
25/07/96;1;866
25/08/06;1;834
25/08/52;1;74
25/08/79;1;15
25/09/43;1;283
25/09/97;1;855
25/11/51;2;476
25/11/99;1;281
25/12/02;1;216
25/12/43;1;55
25/12/68;1;333
25/12/80;2;478
25/12/99;1;879
26/01/42;1;172
26/02/44;1;156
26/02/77;1;362
26/03/17;1;3
26/03/44;1;714
26/04/32;2;410
26/04/60;1;56
26/04/66;1;302
26/05/48;1;319
26/06/62;2;285
26/06/95;2;485
26/07/12;1;50
26/07/66;1;365
26/07/83;2;479
26/07/86;1;706
26/08/05;1;61
26/08/39;1;72
26/08/44;1;998
26/08/70;1;395
26/08/85;1;369
26/09/04;1;309
26/09/89;1;807
26/11/57;2;471
26/11/58;1;670
26/12/35;1;1
26/12/56;1;993
27/01/13;1;175
27/01/51;1;75
27/01/91;1;844
27/02/06;1;317
27/04/02;1;178
27/05/19;1;37
27/05/84;1;829
27/06/64;1;773
27/06/73;1;724
27/06/85;1;701
27/08/59;1;96
27/08/62;1;263
27/08/78;1;800
27/10/73;1;713
27/10/75;1;604
27/10/90;1;656
27/10/93;1;936
27/12/77;1;726
27/12/89;1;363
28/01/62;1;259
28/01/88;1;799
28/01/94;2;463
28/02/12;1;32
28/02/58;1;253
28/02/59;1;36
28/03/16;2;429
28/04/09;1;633
28/04/45;1;191
28/04/65;1;272
28/05/63;1;859
28/06/02;1;977
28/06/68;1;313
28/06/85;1;88
28/07/33;1;895
28/07/51;1;7
28/07/69;1;836
28/08/64;1;628
28/08/65;1;293
28/09/98;1;173
28/10/31;1;93
28/10/67;1;278
28/11/48;1;793
28/11/58;1;653
28/11/60;1;141
29/01/48;2;306
29/01/92;1;617
29/02/00;1;782
29/03/32;1;796
29/03/92;1;904
29/04/39;1;636
29/04/54;1;168
29/04/65;1;861
29/04/95;1;980
29/05/84;1;152
29/05/97;1;934
29/07/17;2;466
29/07/33;1;328
29/07/57;1;163
29/07/74;1;786
29/07/75;1;177
29/08/00;1;942
29/09/12;1;881
29/10/54;1;741
29/10/99;1;233
29/12/01;1;669
29/12/31;1;357
29/12/80;1;291
30/01/07;1;164
30/01/71;1;965
30/03/57;1;286
30/03/97;1;86
30/04/18;1;615
30/04/44;1;911
30/04/53;1;256
30/04/54;1;118
30/05/35;1;393
30/05/38;1;64
30/05/51;1;120
30/06/69;1;194
30/06/79;1;754
30/06/83;1;275
30/07/53;1;794
30/07/65;2;484
30/07/74;1;913
30/07/80;1;62
30/07/91;2;432
30/08/03;2;430
30/09/13;1;207
30/09/46;1;288
30/09/68;1;347
30/10/10;1;735
30/10/98;1;668
30/11/37;1;687
30/12/57;2;431
30/12/65;2;413
30/12/89;1;715
31/01/56;1;79
31/01/94;1;723
31/03/66;1;809
31/05/36;2;472
31/05/52;1;860
31/07/60;1;123
31/07/75;1;298
31/07/90;1;931
31/08/15;1;354
31/08/41;1;252
31/08/51;1;320
31/08/86;1;876
31/12/46;1;124
