Salario;Qtd;Prim
R$6,694;1;618
R$6,696;1;691
R$6,697;1;609
R$6,698;1;800
R$6,704;1;983
R$6,706;1;772
R$6,708;1;919
R$6,724;1;686
R$6,730;2;457
R$6,731;1;275
R$6,733;1;24
R$6,737;1;900
R$6,740;1;225
R$6,743;1;812
R$6,745;1;668
R$6,749;1;748
R$6,760;1;55
R$6,778;1;5
R$6,782;1;972
R$6,783;1;298
R$6,784;1;777
R$6,796;2;412
R$6,807;2;963
R$6,811;1;720
R$6,813;2;462
R$6,827;1;825
R$6,871;1;72
R$6,873;1;956
R$6,874;1;865
R$6,881;1;205
R$6,882;1;807
R$6,893;1;39
R$6,894;1;124
R$6,902;1;888
R$6,909;1;659
R$6,910;1;192
R$6,911;2;470
R$6,915;1;862
R$6,921;1;76
R$6,924;1;879
R$6,928;1;277
R$6,930;1;156
R$6,933;1;9
R$6,951;1;151
R$6,956;1;103
R$6,960;1;688
R$6,965;1;213
R$6,966;1;995
R$6,971;1;647
R$6,977;1;242
R$6,981;1;736
R$6,982;1;346
R$6,983;1;81
R$7,005;1;27
R$7,023;1;637
R$7,025;1;91
R$7,030;1;202
R$7,033;1;868
R$7,037;1;766
R$7,043;1;23
R$7,044;1;22
R$7,045;1;219
R$7,064;2;404
R$7,073;1;50
R$7,082;2;479
R$7,097;1;79
R$7,099;1;678
R$7,101;1;353
R$7,104;1;795
R$7,107;1;929
R$7,120;1;833
R$7,124;2;480
R$7,127;1;116
R$7,131;1;269
R$7,142;1;115
R$7,145;1;617
R$7,148;1;677
R$7,155;1;840
R$7,159;2;420
R$7,175;1;779
R$7,187;1;173
R$7,188;1;878
R$7,192;1;936
R$7,200;1;629
R$7,203;1;641
R$7,208;1;220
R$7,210;1;300
R$7,212;2;486
R$7,213;1;271
R$7,219;1;965
R$7,230;1;241
R$7,245;1;765
R$7,254;1;317
R$7,265;1;671
R$7,267;1;966
R$7,271;1;327
R$7,286;1;30
R$7,307;1;84
R$7,320;2;438
R$7,332;1;104
R$7,335;1;374
R$7,336;1;850
R$7,349;1;295
R$7,350;1;780
R$7,356;2;437
R$7,360;1;176
R$7,367;1;924
R$7,370;2;466
R$7,373;1;389
R$7,381;2;493
R$7,382;1;12
R$7,386;1;980
R$7,391;1;58
R$7,400;1;138
R$7,402;2;482
R$7,409;1;48
R$7,425;4;409
R$7,429;1;716
R$7,430;1;331
R$7,435;1;64
R$7,446;1;165
R$7,448;1;366
R$7,451;1;911
R$7,461;1;198
R$7,467;1;640
R$7,476;1;249
R$7,483;1;996
R$7,485;1;735
R$7,493;1;170
R$7,497;1;38
R$7,501;1;696
R$7,508;2;456
R$7,518;1;778
R$7,519;1;200
R$7,522;1;769
R$7,525;1;282
R$7,530;1;971
R$7,532;1;114
R$7,534;1;222
R$7,535;3;306
R$7,543;2;434
R$7,544;1;887
R$7,551;2;423
R$7,553;1;667
R$7,558;1;350
R$7,567;2;442
R$7,568;1;253
R$7,570;1;362
R$7,572;1;974
R$7,573;2;467
R$7,579;1;742
R$7,584;1;152
R$7,591;1;819
R$7,602;1;233
R$7,603;1;784
R$7,608;1;957
R$7,621;1;910
R$7,623;1;873
R$7,624;1;991
R$7,632;1;870
R$7,634;1;126
R$7,636;1;90
R$7,638;1;851
R$7,639;1;808
R$7,643;1;814
R$7,650;1;82
R$7,653;2;469
R$7,657;1;270
R$7,660;1;857
R$7,663;1;964
R$7,668;1;877
R$7,671;2;849
R$7,672;1;309
R$7,674;1;749
R$7,681;1;768
R$7,690;1;31
R$7,696;1;105
R$7,702;2;112
R$7,711;1;762
R$7,718;1;143
R$7,719;1;199
R$7,724;1;990
R$7,736;1;53
R$7,738;1;358
R$7,739;1;43
R$7,749;2;439
R$7,759;3;3
R$7,760;1;314
R$7,763;1;179
R$7,784;2;401
R$7,788;1;855
R$7,790;1;246
R$7,793;2;657
R$7,799;1;134
R$7,809;1;189
R$7,824;1;390
R$7,828;1;714
R$7,835;1;397
R$7,839;1;307
R$7,849;1;866
R$7,850;2;461
R$7,855;1;945
R$7,857;1;89
R$7,867;1;632
R$7,872;1;191
R$7,875;1;234
R$7,876;1;869
R$7,890;2;491
R$7,904;1;142
R$7,906;1;259
R$7,908;1;305
R$7,914;2;450
R$7,923;1;852
R$7,933;1;822
R$7,941;1;837
R$7,949;1;872
R$7,952;1;700
R$7,964;2;468
R$7,966;1;21
R$7,981;1;666
R$7,994;1;793
R$7,995;1;656
R$7,998;1;774
R$8,012;2;278
R$8,017;1;650
R$8,034;1;214
R$8,037;1;95
R$8,042;1;926
R$8,052;1;363
R$8,053;3;356
R$8,054;1;605
R$8,057;1;646
R$8,065;1;604
R$8,069;1;171
R$8,070;1;703
R$8,083;1;901
R$8,086;1;377
R$8,089;1;918
R$8,111;2;830
R$8,122;1;893
R$8,133;1;831
R$8,136;1;145
R$8,143;1;797
R$8,151;1;804
R$8,158;1;28
R$8,160;1;608
R$8,164;2;455
R$8,165;1;333
R$8,169;2;302
R$8,176;1;231
R$8,177;2;227
R$8,179;1;146
R$8,182;1;627
R$8,199;1;633
R$8,204;1;935
R$8,206;1;204
R$8,209;1;94
R$8,211;1;347
R$8,224;1;989
R$8,233;1;258
R$8,234;2;473
R$8,236;1;625
R$8,246;1;948
R$8,248;1;630
R$8,249;1;806
R$8,254;1;728
R$8,255;1;376
R$8,267;2;955
R$8,269;2;426
R$8,272;1;923
R$8,274;1;57
R$8,279;2;490
R$8,281;1;398
R$8,285;1;207
R$8,286;1;949
R$8,291;1;32
R$8,293;1;612
R$8,304;1;876
R$8,307;2;475
R$8,309;2;978
R$8,326;1;92
R$8,331;1;799
R$8,334;1;636
R$8,339;1;252
R$8,340;1;226
R$8,349;2;402
R$8,358;1;823
R$8,359;1;707
R$8,364;1;672
R$8,369;1;180
R$8,385;1;653
R$8,393;1;117
R$8,400;2;407
R$8,402;1;160
R$8,407;2;224
R$8,414;1;316
R$8,425;1;611
R$8,427;1;999
R$8,431;1;2
R$8,441;1;47
R$8,442;1;273
R$8,454;1;216
R$8,469;2;494
R$8,473;1;928
R$8,481;1;881
R$8,482;2;414
R$8,486;1;343
R$8,497;1;109
R$8,508;1;740
R$8,518;1;692
R$8,521;3;66
R$8,523;1;59
R$8,540;1;140
R$8,542;1;882
R$8,545;1;44
R$8,552;1;753
R$8,557;1;624
R$8,560;2;675
R$8,577;1;981
R$8,585;1;727
R$8,596;1;934
R$8,599;1;236
R$8,601;1;958
R$8,603;2;405
R$8,610;1;267
R$8,621;2;427
R$8,628;2;436
R$8,636;1;121
R$8,637;1;824
R$8,648;2;889
R$8,651;1;968
R$8,653;1;730
R$8,657;2;26
R$8,661;1;628
R$8,668;1;6
R$8,671;1;139
R$8,674;1;874
R$8,682;1;63
R$8,688;1;367
R$8,690;1;670
R$8,698;1;17
R$8,700;1;218
R$8,701;1;724
R$8,702;2;488
R$8,704;2;492
R$8,709;2;485
R$8,714;1;130
R$8,720;1;385
R$8,725;1;292
R$8,729;1;326
R$8,734;2;429
R$8,737;1;131
R$8,744;1;69
R$8,750;1;715
R$8,752;1;15
R$8,753;1;660
R$8,755;1;320
R$8,764;1;342
R$8,767;1;694
R$8,769;1;78
R$8,780;3;186
R$8,788;1;883
R$8,795;1;606
R$8,806;1;663
R$8,811;1;916
R$8,817;1;281
R$8,818;1;843
R$8,822;1;396
R$8,823;1;168
R$8,825;1;847
R$8,831;1;750
R$8,832;1;167
R$8,835;2;476
R$8,837;1;221
R$8,841;1;188
R$8,848;1;330
R$8,864;1;744
R$8,867;2;481
R$8,868;1;20
R$8,870;1;312
R$8,873;1;303
R$8,875;1;129
R$8,884;2;41
R$8,888;2;453
R$8,890;1;634
R$8,897;1;781
R$8,902;1;701
R$8,906;2;460
R$8,917;1;638
R$8,922;1;133
R$8,941;1;46
R$8,947;1;802
R$8,951;1;120
R$8,960;1;301
R$8,967;1;119
R$8,970;1;871
R$8,972;2;912
R$8,983;1;210
R$8,984;1;40
R$8,985;2;183
R$8,988;2;658
R$8,993;1;704
R$9,008;1;325
R$9,019;1;635
R$9,020;1;260
R$9,024;2;194
R$9,038;1;172
R$9,040;1;203
R$9,053;1;662
R$9,057;2;435
R$9,059;1;933
R$9,064;1;664
R$9,073;1;665
R$9,076;1;669
R$9,077;2;60
R$9,089;1;254
R$9,090;1;338
R$9,092;2;74
R$9,093;1;739
R$9,105;1;738
R$9,108;1;896
R$9,111;1;107
R$9,120;1;826
R$9,127;1;256
R$9,131;1;734
R$9,133;1;626
R$9,137;1;853
R$9,142;1;733
R$9,147;1;906
R$9,154;1;899
R$9,155;1;846
R$9,167;1;649
R$9,168;1;337
R$9,177;1;360
R$9,181;1;1
R$9,187;1;982
R$9,193;1;388
R$9,199;2;97
R$9,203;2;10
R$9,204;1;681
R$9,215;1;864
R$9,219;3;70
R$9,226;1;349
R$9,227;1;920
R$9,232;2;499
R$9,236;1;834
R$9,240;3;443
R$9,252;1;970
R$9,259;2;424
R$9,264;1;169
R$9,270;1;775
R$9,288;1;613
R$9,290;1;51
R$9,295;1;827
R$9,305;1;150
R$9,316;1;805
R$9,325;1;937
R$9,329;1;52
R$9,335;1;610
R$9,336;2;422
R$9,338;1;14
R$9,339;1;8
R$9,341;1;942
R$9,349;1;859
R$9,354;1;764
R$9,365;1;711
R$9,368;1;296
R$9,377;1;858
R$9,379;1;832
R$9,380;1;341
R$9,391;1;687
R$9,392;1;798
R$9,400;1;642
R$9,406;1;25
R$9,412;1;684
R$9,418;1;123
R$9,419;1;821
R$9,422;1;698
R$9,423;2;313
R$9,425;2;495
R$9,428;1;45
R$9,432;1;285
R$9,433;1;86
R$9,442;1;164
R$9,443;1;238
R$9,453;1;689
R$9,458;1;644
R$9,460;1;132
R$9,463;1;693
R$9,465;1;276
R$9,468;1;623
R$9,487;1;209
R$9,498;1;250
R$9,503;1;682
R$9,523;1;372
R$9,548;1;153
R$9,549;1;969
R$9,551;1;908
R$9,555;1;83
R$9,556;1;741
R$9,564;2;449
R$9,565;1;894
R$9,567;1;181
R$9,569;1;240
R$9,571;1;976
R$9,573;2;478
R$9,575;1;118
R$9,577;1;373
R$9,580;1;369
R$9,582;1;619
R$9,584;1;243
R$9,588;2;446
R$9,591;1;838
R$9,594;1;266
R$9,602;1;820
R$9,604;1;71
R$9,606;1;602
R$9,612;1;789
R$9,633;1;329
R$9,636;1;867
R$9,656;1;731
R$9,658;2;447
R$9,660;1;244
R$9,673;1;18
R$9,679;1;379
R$9,681;1;106
R$9,682;1;757
R$9,685;1;756
R$9,692;1;655
R$9,702;1;291
R$9,713;1;255
R$9,724;1;718
R$9,728;1;828
R$9,734;1;639
R$9,737;1;932
R$9,745;2;790
R$9,747;1;842
R$9,750;1;1000
R$9,752;1;294
R$9,754;1;931
R$9,755;1;161
R$9,756;1;354
R$9,762;1;96
R$9,771;1;392
R$9,775;1;264
R$9,776;2;497
R$9,787;1;99
R$9,788;2;483
R$9,807;1;175
R$9,816;1;648
R$9,821;1;148
R$9,832;1;235
R$9,835;2;477
R$9,837;1;913
R$9,870;1;11
R$9,872;2;417
R$9,875;2;841
R$9,881;1;286
R$9,891;1;384
R$9,904;1;318
R$9,912;1;674
R$9,919;1;695
R$9,921;1;770
R$9,928;1;357
R$9,931;1;773
R$9,945;1;685
R$9,955;2;471
R$9,959;1;616
R$9,973;2;406
R$9,976;2;815
R$9,985;2;463
R$9,986;1;702
R$9,992;1;709
R$9,994;1;217
R$9,997;1;36
R$9,999;1;311
