ED;ID;Estado_Civil;Prox.Estado_Civil
226;774;Divorciado;228
228;27;Divorciado;229
229;689;Divorciado;233
233;66;Divorciado;238
238;443;Divorciado;239
239;148;Divorciado;241
241;852;Divorciado;244
244;958;Divorciado;253
253;956;Divorciado;257
257;798;Divorciado;264
264;832;Divorciado;266
266;104;Divorciado;267
267;911;Divorciado;271
271;213;Divorciado;279
279;475;Divorciado;280
280;875;Divorciado;288
288;490;Divorciado;291
291;325;Divorciado;292
292;509;Divorciado;295
295;172;Divorciado;297
297;864;Divorciado;300
300;44;Divorciado;302
302;375;Divorciado;307
307;747;Divorciado;314
314;278;Divorciado;330
330;493;Divorciado;332
332;799;Divorciado;339
339;345;Divorciado;341
341;610;Divorciado;345
345;123;Divorciado;348
348;403;Divorciado;356
356;392;Divorciado;358
358;446;Divorciado;364
364;412;Divorciado;365
365;634;Divorciado;367
367;89;Divorciado;374
374;669;Divorciado;376
376;609;Divorciado;380
380;953;Divorciado;384
384;871;Divorciado;386
386;743;Divorciado;387
387;338;Divorciado;390
390;160;Divorciado;393
393;353;Divorciado;403
403;707;Divorciado;404
404;974;Divorciado;408
408;243;Divorciado;409
409;878;Divorciado;412
412;981;Divorciado;417
417;670;Divorciado;419
419;269;Divorciado;432
432;285;Divorciado;435
435;632;Divorciado;438
438;709;Divorciado;440
440;925;Divorciado;444
444;170;Divorciado;447
447;132;Divorciado;449
449;749;Divorciado;452
452;367;Divorciado;456
456;484;Divorciado;457
457;528;Divorciado;461
461;534;Divorciado;463
463;17;Divorciado;470
470;914;Divorciado;471
471;895;Divorciado;483
483;454;Divorciado;487
487;440;Divorciado;489
489;203;Divorciado;503
503;455;Divorciado;504
504;618;Divorciado;508
508;668;Divorciado;509
509;843;Divorciado;512
512;486;Divorciado;517
517;405;Divorciado;519
519;119;Divorciado;532
532;982;Divorciado;535
535;651;Divorciado;538
538;311;Divorciado;540
540;713;Divorciado;544
544;386;Divorciado;547
547;495;Divorciado;549
549;869;Divorciado;552
552;207;Divorciado;556
556;270;Divorciado;557
557;184;Divorciado;561
561;35;Divorciado;563
563;845;Divorciado;570
570;626;Divorciado;571
571;83;Divorciado;583
583;796;Divorciado;587
587;988;Divorciado;589
589;833;Divorciado;610
610;714;Divorciado;611
611;258;Divorciado;612
612;675;Divorciado;615
615;735;Divorciado;617
617;127;Divorciado;618
618;54;Divorciado;619
619;999;Divorciado;621
621;254;Divorciado;625
625;524;Divorciado;626
626;496;Divorciado;628
628;46;Divorciado;631
631;16;Divorciado;632
632;548;Divorciado;633
633;614;Divorciado;636
636;659;Divorciado;638
638;765;Divorciado;640
640;491;Divorciado;642
642;140;Divorciado;643
643;975;Divorciado;648
648;198;Divorciado;664
664;766;Divorciado;667
667;114;Divorciado;668
668;560;Divorciado;669
669;940;Divorciado;672
672;28;Divorciado;675
675;129;Divorciado;681
681;362;Divorciado;690
690;790;Divorciado;693
693;241;Divorciado;695
695;390;Divorciado;704
704;613;Divorciado;705
705;564;Divorciado;706
706;469;Divorciado;714
714;772;Divorciado;716
716;526;Divorciado;720
720;333;Divorciado;721
721;504;Divorciado;724
724;606;Divorciado;729
729;547;Divorciado;733
733;319;Divorciado;736
736;989;Divorciado;738
738;549;Divorciado;742
742;928;Divorciado;747
747;596;Divorciado;748
748;642;Divorciado;753
753;94;Divorciado;762
762;404;Divorciado;768
768;244;Divorciado;769
769;374;Divorciado;773
773;256;Divorciado;778
778;792;Divorciado;783
783;95;Divorciado;789
789;604;Divorciado;790
790;773;Divorciado;797
797;909;Divorciado;799
799;227;Divorciado;800
800;795;Divorciado;802
802;186;Divorciado;803
803;68;Divorciado;806
806;821;Divorciado;810
810;641;Divorciado;812
812;939;Divorciado;817
817;637;Divorciado;820
820;326;Divorciado;821
821;803;Divorciado;822
822;444;Divorciado;825
825;239;Divorciado;834
834;271;Divorciado;840
840;283;Divorciado;845
845;8;Divorciado;848
848;337;Divorciado;852
852;26;Divorciado;856
856;980;Divorciado;857
857;686;Divorciado;862
862;806;Divorciado;863
863;466;Divorciado;867
867;2;Divorciado;868
868;993;Divorciado;870
870;791;Divorciado;872
872;181;Divorciado;875
875;434;Divorciado;877
877;837;Divorciado;879
879;150;Divorciado;890
890;9;Divorciado;893
893;569;Divorciado;895
895;124;Divorciado;899
899;349;Divorciado;904
904;69;Divorciado;908
908;414;Divorciado;909
909;763;Divorciado;910
910;103;Divorciado;911
911;342;Divorciado;921
921;571;Divorciado;922
922;817;Divorciado;924
924;369;Divorciado;925
925;400;Divorciado;931
931;176;Divorciado;933
933;451;Divorciado;937
937;992;Divorciado;939
939;235;Divorciado;941
941;174;Divorciado;943
943;450;Divorciado;946
946;966;Divorciado;949
949;352;Divorciado;952
952;933;Divorciado;963
963;372;Divorciado;973
973;341;Divorciado;974
974;281;Divorciado;976
976;261;Divorciado;977
977;810;Divorciado;980
980;215;Divorciado;985
985;201;Divorciado;996
996;954;Divorciado;1000
1000;511;Divorciado;0
1;657;Solteiro;4
4;619;Solteiro;9
9;546;Solteiro;12
12;199;Solteiro;13
13;762;Solteiro;19
19;276;Solteiro;20
20;676;Solteiro;27
27;730;Solteiro;32
32;432;Solteiro;37
37;296;Solteiro;38
38;216;Solteiro;39
39;481;Solteiro;44
44;57;Solteiro;50
50;779;Solteiro;55
55;161;Solteiro;61
61;715;Solteiro;62
62;985;Solteiro;63
63;995;Solteiro;67
67;38;Solteiro;69
69;787;Solteiro;75
75;703;Solteiro;76
76;767;Solteiro;80
80;998;Solteiro;84
84;539;Solteiro;87
87;697;Solteiro;95
95;330;Solteiro;101
101;775;Solteiro;102
102;629;Solteiro;104
104;498;Solteiro;110
110;935;Solteiro;113
113;165;Solteiro;114
114;204;Solteiro;115
115;431;Solteiro;118
118;671;Solteiro;124
124;420;Solteiro;126
126;396;Solteiro;136
136;627;Solteiro;140
140;943;Solteiro;150
150;388;Solteiro;152
152;249;Solteiro;164
164;830;Solteiro;165
165;996;Solteiro;171
171;647;Solteiro;172
172;856;Solteiro;178
178;793;Solteiro;180
180;967;Solteiro;183
183;173;Solteiro;191
191;950;Solteiro;200
200;167;Solteiro;201
201;891;Solteiro;202
202;355;Solteiro;203
203;722;Solteiro;212
212;18;Solteiro;216
216;505;Solteiro;221
221;259;Solteiro;224
224;649;Solteiro;230
230;742;Solteiro;232
232;238;Solteiro;235
235;97;Solteiro;247
247;197;Solteiro;254
254;29;Solteiro;260
260;819;Solteiro;261
261;750;Solteiro;262
262;422;Solteiro;268
268;638;Solteiro;272
272;745;Solteiro;274
274;807;Solteiro;275
275;646;Solteiro;277
277;40;Solteiro;282
282;49;Solteiro;284
284;37;Solteiro;287
287;287;Solteiro;293
293;636;Solteiro;296
296;84;Solteiro;303
303;650;Solteiro;304
304;56;Solteiro;308
308;758;Solteiro;309
309;712;Solteiro;313
313;425;Solteiro;320
320;635;Solteiro;323
323;608;Solteiro;325
325;994;Solteiro;327
327;854;Solteiro;329
329;725;Solteiro;333
333;948;Solteiro;336
336;518;Solteiro;337
337;272;Solteiro;343
343;118;Solteiro;349
349;770;Solteiro;351
351;212;Solteiro;355
355;117;Solteiro;360
360;245;Solteiro;363
363;525;Solteiro;371
371;389;Solteiro;372
372;969;Solteiro;373
373;848;Solteiro;377
377;587;Solteiro;378
378;662;Solteiro;385
385;957;Solteiro;391
391;305;Solteiro;401
401;109;Solteiro;424
424;81;Solteiro;425
425;962;Solteiro;434
434;368;Solteiro;437
437;263;Solteiro;443
443;313;Solteiro;446
446;306;Solteiro;448
448;842;Solteiro;460
460;695;Solteiro;462
462;340;Solteiro;464
464;144;Solteiro;477
477;343;Solteiro;488
488;415;Solteiro;493
493;710;Solteiro;496
496;699;Solteiro;498
498;10;Solteiro;499
499;736;Solteiro;500
500;844;Solteiro;501
501;290;Solteiro;524
524;600;Solteiro;525
525;970;Solteiro;534
534;692;Solteiro;537
537;149;Solteiro;543
543;58;Solteiro;546
546;193;Solteiro;548
548;825;Solteiro;560
560;889;Solteiro;562
562;784;Solteiro;564
564;33;Solteiro;577
577;781;Solteiro;588
588;346;Solteiro;593
593;603;Solteiro;596
596;824;Solteiro;598
598;542;Solteiro;599
599;685;Solteiro;600
600;535;Solteiro;602
602;387;Solteiro;603
603;682;Solteiro;604
604;419;Solteiro;608
608;986;Solteiro;613
613;677;Solteiro;614
614;607;Solteiro;620
620;977;Solteiro;627
627;60;Solteiro;637
637;115;Solteiro;639
639;112;Solteiro;645
645;492;Solteiro;657
657;892;Solteiro;658
658;59;Solteiro;661
661;98;Solteiro;663
663;836;Solteiro;671
671;663;Solteiro;673
673;153;Solteiro;674
674;488;Solteiro;678
678;242;Solteiro;680
680;991;Solteiro;684
684;42;Solteiro;686
686;783;Solteiro;688
688;30;Solteiro;694
694;399;Solteiro;709
709;225;Solteiro;711
711;624;Solteiro;712
712;310;Solteiro;727
727;284;Solteiro;728
728;483;Solteiro;730
730;190;Solteiro;731
731;639;Solteiro;735
735;831;Solteiro;737
737;761;Solteiro;740
740;515;Solteiro;741
741;191;Solteiro;745
745;861;Solteiro;746
746;562;Solteiro;749
749;25;Solteiro;752
752;951;Solteiro;754
754;48;Solteiro;765
765;222;Solteiro;766
766;822;Solteiro;770
770;268;Solteiro;772
772;300;Solteiro;776
776;288;Solteiro;782
782;264;Solteiro;792
792;257;Solteiro;793
793;929;Solteiro;796
796;802;Solteiro;804
804;439;Solteiro;808
808;757;Solteiro;811
811;886;Solteiro;816
816;397;Solteiro;818
818;731;Solteiro;819
819;125;Solteiro;826
826;187;Solteiro;827
827;648;Solteiro;828
828;485;Solteiro;830
830;952;Solteiro;832
832;959;Solteiro;833
833;570;Solteiro;836
836;554;Solteiro;837
837;274;Solteiro;846
846;581;Solteiro;850
850;299;Solteiro;851
851;804;Solteiro;854
854;903;Solteiro;855
855;876;Solteiro;861
861;162;Solteiro;864
864;899;Solteiro;869
869;121;Solteiro;880
880;938;Solteiro;882
882;558;Solteiro;894
894;556;Solteiro;896
896;922;Solteiro;906
906;687;Solteiro;919
919;401;Solteiro;927
927;315;Solteiro;932
932;900;Solteiro;940
940;50;Solteiro;944
944;563;Solteiro;945
945;99;Solteiro;960
960;827;Solteiro;961
961;1;Solteiro;962
962;768;Solteiro;965
965;972;Solteiro;966
966;228;Solteiro;978
978;86;Solteiro;979
979;860;Solteiro;983
983;246;Solteiro;986
986;905;Solteiro;991
991;409;Solteiro;999
999;220;Solteiro;0
3;896;Viúvo;7
7;653;Viúvo;21
21;106;Viúvo;22
22;223;Viúvo;25
25;82;Viúvo;28
28;61;Viúvo;35
35;660;Viúvo;36
36;382;Viúvo;40
40;334;Viúvo;42
42;538;Viúvo;45
45;553;Viúvo;46
46;74;Viúvo;52
52;688;Viúvo;53
53;13;Viúvo;54
54;578;Viúvo;58
58;684;Viúvo;68
68;75;Viúvo;70
70;34;Viúvo;88
88;166;Viúvo;90
90;413;Viúvo;98
98;410;Viúvo;100
100;931;Viúvo;105
105;811;Viúvo;111
111;373;Viúvo;120
120;718;Viúvo;121
121;522;Viúvo;127
127;286;Viúvo;129
129;973;Viúvo;131
131;523;Viúvo;132
132;52;Viúvo;133
133;218;Viúvo;134
134;594;Viúvo;135
135;680;Viúvo;138
138;67;Viúvo;141
141;105;Viúvo;142
142;584;Viúvo;145
145;748;Viúvo;147
147;442;Viúvo;149
149;156;Viúvo;151
151;678;Viúvo;157
157;557;Viúvo;159
159;380;Viúvo;161
161;460;Viúvo;177
177;812;Viúvo;179
179;329;Viúvo;186
186;80;Viúvo;190
190;820;Viúvo;192
192;350;Viúvo;193
193;252;Viúvo;194
194;461;Viúvo;204
204;63;Viúvo;206
206;240;Viúvo;207
207;145;Viúvo;208
208;110;Viúvo;209
209;778;Viúvo;217
217;318;Viúvo;220
220;85;Viúvo;222
222;565;Viúvo;223
223;921;Viúvo;227
227;555;Viúvo;234
234;381;Viúvo;236
236;423;Viúvo;237
237;700;Viúvo;242
242;221;Viúvo;246
246;209;Viúvo;248
248;719;Viúvo;249
249;357;Viúvo;250
250;771;Viúvo;251
251;430;Viúvo;255
255;666;Viúvo;258
258;445;Viúvo;263
263;769;Viúvo;265
265;579;Viúvo;269
269;740;Viúvo;276
276;139;Viúvo;278
278;426;Viúvo;285
285;407;Viúvo;289
289;926;Viúvo;299
299;533;Viúvo;301
301;157;Viúvo;305
305;279;Viúvo;310
310;3;Viúvo;312
312;331;Viúvo;318
318;656;Viúvo;319
319;544;Viúvo;324
324;595;Viúvo;328
328;620;Viúvo;331
331;297;Viúvo;334
334;147;Viúvo;335
335;800;Viúvo;340
340;379;Viúvo;344
344;206;Viúvo;346
346;897;Viúvo;354
354;126;Viúvo;362
362;946;Viúvo;381
381;280;Viúvo;389
389;309;Viúvo;392
392;102;Viúvo;394
394;189;Viúvo;400
400;205;Viúvo;405
405;741;Viúvo;407
407;247;Viúvo;411
411;881;Viúvo;414
414;344;Viúvo;415
415;427;Viúvo;416
416;348;Viúvo;420
420;510;Viúvo;426
426;705;Viúvo;427
427;942;Viúvo;428
428;877;Viúvo;429
429;421;Viúvo;436
436;251;Viúvo;441
441;141;Viúvo;454
454;122;Viúvo;468
468;711;Viúvo;469
469;738;Viúvo;473
473;541;Viúvo;474
474;236;Viúvo;476
476;809;Viúvo;479
479;499;Viúvo;480
480;866;Viúvo;481
481;19;Viúvo;482
482;918;Viúvo;485
485;433;Viúvo;486
486;583;Viúvo;490
490;231;Viúvo;491
491;473;Viúvo;495
495;51;Viúvo;497
497;365;Viúvo;505
505;752;Viúvo;507
507;551;Viúvo;511
511;701;Viúvo;514
514;813;Viúvo;515
515;588;Viúvo;516
516;77;Viúvo;520
520;457;Viúvo;526
526;295;Viúvo;527
527;474;Viúvo;528
528;978;Viúvo;529
529;572;Viúvo;536
536;531;Viúvo;541
541;497;Viúvo;554
554;598;Viúvo;568
568;602;Viúvo;569
569;611;Viúvo;573
573;858;Viúvo;574
574;468;Viúvo;576
576;163;Viúvo;579
579;789;Viúvo;580
580;693;Viúvo;581
581;846;Viúvo;582
582;702;Viúvo;585
585;521;Viúvo;586
586;537;Viúvo;590
590;586;Viúvo;591
591;307;Viúvo;595
595;416;Viúvo;597
597;482;Viúvo;601
601;356;Viúvo;605
605;23;Viúvo;606
606;726;Viúvo;609
609;202;Viúvo;616
616;20;Viúvo;624
624;520;Viúvo;629
629;698;Viúvo;630
630;737;Viúvo;635
635;136;Viúvo;644
644;884;Viúvo;647
647;303;Viúvo;649
649;120;Viúvo;653
653;936;Viúvo;654
654;55;Viúvo;659
659;438;Viúvo;660
660;902;Viúvo;662
662;116;Viúvo;665
665;471;Viúvo;666
666;196;Viúvo;670
670;322;Viúvo;676
676;580;Viúvo;677
677;592;Viúvo;679
679;159;Viúvo;682
682;354;Viúvo;685
685;298;Viúvo;687
687;623;Viúvo;689
689;267;Viúvo;692
692;514;Viúvo;697
697;429;Viúvo;698
698;22;Viúvo;699
699;452;Viúvo;701
701;797;Viúvo;702
702;11;Viúvo;703
703;732;Viúvo;708
708;867;Viúvo;710
710;158;Viúvo;713
713;508;Viúvo;715
715;753;Viúvo;722
722;308;Viúvo;726
726;393;Viúvo;732
732;411;Viúvo;739
739;211;Viúvo;751
751;154;Viúvo;756
756;192;Viúvo;757
757;262;Viúvo;758
758;716;Viúvo;759
759;937;Viúvo;760
760;472;Viúvo;774
774;960;Viúvo;775
775;302;Viúvo;777
777;194;Viúvo;787
787;1000;Viúvo;791
791;590;Viúvo;794
794;164;Viúvo;795
795;979;Viúvo;798
798;180;Viúvo;807
807;5;Viúvo;809
809;479;Viúvo;823
823;652;Viúvo;831
831;282;Viúvo;838
838;501;Viúvo;841
841;971;Viúvo;842
842;984;Viúvo;843
843;93;Viúvo;844
844;179;Viúvo;847
847;870;Viúvo;849
849;585;Viúvo;866
866;458;Viúvo;871
871;14;Viúvo;874
874;855;Viúvo;876
876;188;Viúvo;881
881;64;Viúvo;886
886;453;Viúvo;888
888;568;Viúvo;897
897;291;Viúvo;901
901;776;Viúvo;903
903;694;Viúvo;916
916;146;Viúvo;923
923;643;Viúvo;926
926;764;Viúvo;930
930;402;Viúvo;934
934;87;Viúvo;935
935;265;Viúvo;938
938;90;Viúvo;950
950;599;Viúvo;954
954;332;Viúvo;955
955;41;Viúvo;956
956;128;Viúvo;964
964;78;Viúvo;967
967;559;Viúvo;971
971;906;Viúvo;975
975;408;Viúvo;982
982;640;Viúvo;984
984;134;Viúvo;989
989;823;Viúvo;992
992;628;Viúvo;993
993;834;Viúvo;995
995;45;Viúvo;997
997;853;Viúvo;0
