ED;ID;Estado_Civil
96;234;Divorciado
103;863;Divorciado
107;273;Divorciado
108;96;Divorciado
109;720;Divorciado
112;550;Divorciado
116;113;Divorciado
119;39;Divorciado
122;862;Divorciado
130;131;Divorciado
139;963;Divorciado
143;890;Divorciado
144;658;Divorciado
148;71;Divorciado
153;723;Divorciado
155;633;Divorciado
160;230;Divorciado
162;872;Divorciado
167;398;Divorciado
168;814;Divorciado
169;143;Divorciado
170;593;Divorciado
173;755;Divorciado
174;625;Divorciado
175;183;Divorciado
187;378;Divorciado
188;934;Divorciado
189;847;Divorciado
196;383;Divorciado
198;294;Divorciado
214;169;Divorciado
219;577;Divorciado
226;774;Divorciado
228;27;Divorciado
229;689;Divorciado
233;66;Divorciado
238;443;Divorciado
239;148;Divorciado
241;852;Divorciado
244;958;Divorciado
253;956;Divorciado
257;798;Divorciado
264;832;Divorciado
266;104;Divorciado
267;911;Divorciado
271;213;Divorciado
279;475;Divorciado
280;875;Divorciado
288;490;Divorciado
291;325;Divorciado
292;509;Divorciado
295;172;Divorciado
297;864;Divorciado
300;44;Divorciado
302;375;Divorciado
307;747;Divorciado
314;278;Divorciado
330;493;Divorciado
332;799;Divorciado
339;345;Divorciado
341;610;Divorciado
345;123;Divorciado
348;403;Divorciado
356;392;Divorciado
358;446;Divorciado
364;412;Divorciado
365;634;Divorciado
367;89;Divorciado
374;669;Divorciado
376;609;Divorciado
380;953;Divorciado
384;871;Divorciado
386;743;Divorciado
387;338;Divorciado
390;160;Divorciado
393;353;Divorciado
403;707;Divorciado
404;974;Divorciado
408;243;Divorciado
409;878;Divorciado
412;981;Divorciado
417;670;Divorciado
419;269;Divorciado
432;285;Divorciado
435;632;Divorciado
438;709;Divorciado
440;925;Divorciado
444;170;Divorciado
447;132;Divorciado
449;749;Divorciado
452;367;Divorciado
456;484;Divorciado
457;528;Divorciado
461;534;Divorciado
463;17;Divorciado
470;914;Divorciado
471;895;Divorciado
483;454;Divorciado
487;440;Divorciado
489;203;Divorciado
503;455;Divorciado
504;618;Divorciado
508;668;Divorciado
509;843;Divorciado
512;486;Divorciado
517;405;Divorciado
519;119;Divorciado
532;982;Divorciado
535;651;Divorciado
538;311;Divorciado
540;713;Divorciado
544;386;Divorciado
547;495;Divorciado
549;869;Divorciado
552;207;Divorciado
556;270;Divorciado
557;184;Divorciado
561;35;Divorciado
563;845;Divorciado
570;626;Divorciado
571;83;Divorciado
583;796;Divorciado
587;988;Divorciado
589;833;Divorciado
610;714;Divorciado
611;258;Divorciado
612;675;Divorciado
615;735;Divorciado
617;127;Divorciado
618;54;Divorciado
619;999;Divorciado
621;254;Divorciado
625;524;Divorciado
626;496;Divorciado
628;46;Divorciado
631;16;Divorciado
632;548;Divorciado
633;614;Divorciado
636;659;Divorciado
638;765;Divorciado
640;491;Divorciado
642;140;Divorciado
643;975;Divorciado
648;198;Divorciado
664;766;Divorciado
667;114;Divorciado
668;560;Divorciado
669;940;Divorciado
672;28;Divorciado
675;129;Divorciado
681;362;Divorciado
690;790;Divorciado
693;241;Divorciado
695;390;Divorciado
704;613;Divorciado
705;564;Divorciado
706;469;Divorciado
714;772;Divorciado
716;526;Divorciado
720;333;Divorciado
721;504;Divorciado
724;606;Divorciado
729;547;Divorciado
733;319;Divorciado
736;989;Divorciado
738;549;Divorciado
742;928;Divorciado
747;596;Divorciado
748;642;Divorciado
753;94;Divorciado
762;404;Divorciado
768;244;Divorciado
769;374;Divorciado
773;256;Divorciado
778;792;Divorciado
783;95;Divorciado
789;604;Divorciado
790;773;Divorciado
797;909;Divorciado
799;227;Divorciado
800;795;Divorciado
802;186;Divorciado
803;68;Divorciado
806;821;Divorciado
810;641;Divorciado
812;939;Divorciado
817;637;Divorciado
820;326;Divorciado
821;803;Divorciado
822;444;Divorciado
825;239;Divorciado
834;271;Divorciado
840;283;Divorciado
845;8;Divorciado
848;337;Divorciado
852;26;Divorciado
856;980;Divorciado
857;686;Divorciado
862;806;Divorciado
863;466;Divorciado
867;2;Divorciado
868;993;Divorciado
870;791;Divorciado
872;181;Divorciado
875;434;Divorciado
877;837;Divorciado
879;150;Divorciado
890;9;Divorciado
893;569;Divorciado
895;124;Divorciado
899;349;Divorciado
904;69;Divorciado
908;414;Divorciado
909;763;Divorciado
910;103;Divorciado
911;342;Divorciado
921;571;Divorciado
922;817;Divorciado
924;369;Divorciado
925;400;Divorciado
931;176;Divorciado
933;451;Divorciado
937;992;Divorciado
939;235;Divorciado
941;174;Divorciado
943;450;Divorciado
946;966;Divorciado
949;352;Divorciado
952;933;Divorciado
963;372;Divorciado
973;341;Divorciado
974;281;Divorciado
976;261;Divorciado
977;810;Divorciado
980;215;Divorciado
985;201;Divorciado
996;954;Divorciado
1000;511;Divorciado
1;657;Solteiro
4;619;Solteiro
9;546;Solteiro
12;199;Solteiro
13;762;Solteiro
19;276;Solteiro
20;676;Solteiro
27;730;Solteiro
32;432;Solteiro
37;296;Solteiro
38;216;Solteiro
39;481;Solteiro
44;57;Solteiro
50;779;Solteiro
55;161;Solteiro
61;715;Solteiro
62;985;Solteiro
63;995;Solteiro
67;38;Solteiro
69;787;Solteiro
75;703;Solteiro
76;767;Solteiro
80;998;Solteiro
84;539;Solteiro
87;697;Solteiro
95;330;Solteiro
101;775;Solteiro
102;629;Solteiro
104;498;Solteiro
110;935;Solteiro
113;165;Solteiro
114;204;Solteiro
115;431;Solteiro
118;671;Solteiro
124;420;Solteiro
126;396;Solteiro
136;627;Solteiro
140;943;Solteiro
150;388;Solteiro
152;249;Solteiro
164;830;Solteiro
165;996;Solteiro
171;647;Solteiro
172;856;Solteiro
178;793;Solteiro
180;967;Solteiro
183;173;Solteiro
191;950;Solteiro
200;167;Solteiro
201;891;Solteiro
202;355;Solteiro
203;722;Solteiro
212;18;Solteiro
216;505;Solteiro
221;259;Solteiro
224;649;Solteiro
230;742;Solteiro
232;238;Solteiro
235;97;Solteiro
247;197;Solteiro
254;29;Solteiro
260;819;Solteiro
261;750;Solteiro
262;422;Solteiro
268;638;Solteiro
272;745;Solteiro
274;807;Solteiro
275;646;Solteiro
277;40;Solteiro
282;49;Solteiro
284;37;Solteiro
287;287;Solteiro
293;636;Solteiro
296;84;Solteiro
303;650;Solteiro
304;56;Solteiro
308;758;Solteiro
309;712;Solteiro
313;425;Solteiro
320;635;Solteiro
323;608;Solteiro
325;994;Solteiro
327;854;Solteiro
329;725;Solteiro
333;948;Solteiro
336;518;Solteiro
337;272;Solteiro
343;118;Solteiro
349;770;Solteiro
351;212;Solteiro
355;117;Solteiro
360;245;Solteiro
363;525;Solteiro
371;389;Solteiro
372;969;Solteiro
373;848;Solteiro
377;587;Solteiro
378;662;Solteiro
385;957;Solteiro
391;305;Solteiro
401;109;Solteiro
424;81;Solteiro
425;962;Solteiro
434;368;Solteiro
437;263;Solteiro
443;313;Solteiro
446;306;Solteiro
448;842;Solteiro
460;695;Solteiro
462;340;Solteiro
464;144;Solteiro
477;343;Solteiro
488;415;Solteiro
493;710;Solteiro
496;699;Solteiro
498;10;Solteiro
499;736;Solteiro
500;844;Solteiro
501;290;Solteiro
524;600;Solteiro
525;970;Solteiro
534;692;Solteiro
537;149;Solteiro
543;58;Solteiro
546;193;Solteiro
548;825;Solteiro
560;889;Solteiro
562;784;Solteiro
564;33;Solteiro
577;781;Solteiro
588;346;Solteiro
593;603;Solteiro
596;824;Solteiro
598;542;Solteiro
599;685;Solteiro
600;535;Solteiro
602;387;Solteiro
603;682;Solteiro
604;419;Solteiro
608;986;Solteiro
613;677;Solteiro
614;607;Solteiro
620;977;Solteiro
627;60;Solteiro
637;115;Solteiro
639;112;Solteiro
645;492;Solteiro
657;892;Solteiro
658;59;Solteiro
661;98;Solteiro
663;836;Solteiro
671;663;Solteiro
673;153;Solteiro
674;488;Solteiro
678;242;Solteiro
680;991;Solteiro
684;42;Solteiro
686;783;Solteiro
688;30;Solteiro
694;399;Solteiro
709;225;Solteiro
711;624;Solteiro
712;310;Solteiro
727;284;Solteiro
728;483;Solteiro
730;190;Solteiro
731;639;Solteiro
735;831;Solteiro
737;761;Solteiro
740;515;Solteiro
741;191;Solteiro
745;861;Solteiro
746;562;Solteiro
749;25;Solteiro
752;951;Solteiro
754;48;Solteiro
765;222;Solteiro
766;822;Solteiro
770;268;Solteiro
772;300;Solteiro
776;288;Solteiro
782;264;Solteiro
792;257;Solteiro
793;929;Solteiro
796;802;Solteiro
804;439;Solteiro
808;757;Solteiro
811;886;Solteiro
816;397;Solteiro
818;731;Solteiro
819;125;Solteiro
826;187;Solteiro
827;648;Solteiro
828;485;Solteiro
830;952;Solteiro
832;959;Solteiro
833;570;Solteiro
836;554;Solteiro
837;274;Solteiro
846;581;Solteiro
850;299;Solteiro
851;804;Solteiro
854;903;Solteiro
855;876;Solteiro
861;162;Solteiro
864;899;Solteiro
869;121;Solteiro
880;938;Solteiro
882;558;Solteiro
894;556;Solteiro
896;922;Solteiro
906;687;Solteiro
919;401;Solteiro
927;315;Solteiro
932;900;Solteiro
940;50;Solteiro
944;563;Solteiro
945;99;Solteiro
960;827;Solteiro
961;1;Solteiro
962;768;Solteiro
965;972;Solteiro
966;228;Solteiro
978;86;Solteiro
979;860;Solteiro
983;246;Solteiro
986;905;Solteiro
991;409;Solteiro
999;220;Solteiro
3;896;Viúvo
7;653;Viúvo
21;106;Viúvo
22;223;Viúvo
25;82;Viúvo
28;61;Viúvo
35;660;Viúvo
36;382;Viúvo
40;334;Viúvo
42;538;Viúvo
45;553;Viúvo
46;74;Viúvo
52;688;Viúvo
53;13;Viúvo
54;578;Viúvo
58;684;Viúvo
68;75;Viúvo
70;34;Viúvo
88;166;Viúvo
90;413;Viúvo
98;410;Viúvo
100;931;Viúvo
105;811;Viúvo
111;373;Viúvo
120;718;Viúvo
121;522;Viúvo
127;286;Viúvo
129;973;Viúvo
131;523;Viúvo
132;52;Viúvo
133;218;Viúvo
134;594;Viúvo
135;680;Viúvo
138;67;Viúvo
141;105;Viúvo
142;584;Viúvo
145;748;Viúvo
147;442;Viúvo
149;156;Viúvo
151;678;Viúvo
157;557;Viúvo
159;380;Viúvo
161;460;Viúvo
177;812;Viúvo
179;329;Viúvo
186;80;Viúvo
190;820;Viúvo
192;350;Viúvo
193;252;Viúvo
194;461;Viúvo
204;63;Viúvo
206;240;Viúvo
207;145;Viúvo
208;110;Viúvo
209;778;Viúvo
217;318;Viúvo
220;85;Viúvo
222;565;Viúvo
223;921;Viúvo
227;555;Viúvo
234;381;Viúvo
236;423;Viúvo
237;700;Viúvo
242;221;Viúvo
246;209;Viúvo
248;719;Viúvo
249;357;Viúvo
250;771;Viúvo
251;430;Viúvo
255;666;Viúvo
258;445;Viúvo
263;769;Viúvo
265;579;Viúvo
269;740;Viúvo
276;139;Viúvo
278;426;Viúvo
285;407;Viúvo
289;926;Viúvo
299;533;Viúvo
301;157;Viúvo
305;279;Viúvo
310;3;Viúvo
312;331;Viúvo
318;656;Viúvo
319;544;Viúvo
324;595;Viúvo
328;620;Viúvo
331;297;Viúvo
334;147;Viúvo
335;800;Viúvo
340;379;Viúvo
344;206;Viúvo
346;897;Viúvo
354;126;Viúvo
362;946;Viúvo
381;280;Viúvo
389;309;Viúvo
392;102;Viúvo
394;189;Viúvo
400;205;Viúvo
405;741;Viúvo
407;247;Viúvo
411;881;Viúvo
414;344;Viúvo
415;427;Viúvo
416;348;Viúvo
420;510;Viúvo
426;705;Viúvo
427;942;Viúvo
428;877;Viúvo
429;421;Viúvo
436;251;Viúvo
441;141;Viúvo
454;122;Viúvo
468;711;Viúvo
469;738;Viúvo
473;541;Viúvo
474;236;Viúvo
476;809;Viúvo
479;499;Viúvo
480;866;Viúvo
481;19;Viúvo
482;918;Viúvo
485;433;Viúvo
486;583;Viúvo
490;231;Viúvo
491;473;Viúvo
495;51;Viúvo
497;365;Viúvo
505;752;Viúvo
507;551;Viúvo
511;701;Viúvo
514;813;Viúvo
515;588;Viúvo
516;77;Viúvo
520;457;Viúvo
526;295;Viúvo
527;474;Viúvo
528;978;Viúvo
529;572;Viúvo
536;531;Viúvo
541;497;Viúvo
554;598;Viúvo
568;602;Viúvo
569;611;Viúvo
573;858;Viúvo
574;468;Viúvo
576;163;Viúvo
579;789;Viúvo
580;693;Viúvo
581;846;Viúvo
582;702;Viúvo
585;521;Viúvo
586;537;Viúvo
590;586;Viúvo
591;307;Viúvo
595;416;Viúvo
597;482;Viúvo
601;356;Viúvo
605;23;Viúvo
606;726;Viúvo
609;202;Viúvo
616;20;Viúvo
624;520;Viúvo
629;698;Viúvo
630;737;Viúvo
635;136;Viúvo
644;884;Viúvo
647;303;Viúvo
649;120;Viúvo
653;936;Viúvo
654;55;Viúvo
659;438;Viúvo
660;902;Viúvo
662;116;Viúvo
665;471;Viúvo
666;196;Viúvo
670;322;Viúvo
676;580;Viúvo
677;592;Viúvo
679;159;Viúvo
682;354;Viúvo
685;298;Viúvo
687;623;Viúvo
689;267;Viúvo
692;514;Viúvo
697;429;Viúvo
698;22;Viúvo
699;452;Viúvo
701;797;Viúvo
702;11;Viúvo
703;732;Viúvo
708;867;Viúvo
710;158;Viúvo
713;508;Viúvo
715;753;Viúvo
722;308;Viúvo
726;393;Viúvo
732;411;Viúvo
739;211;Viúvo
751;154;Viúvo
756;192;Viúvo
757;262;Viúvo
758;716;Viúvo
759;937;Viúvo
760;472;Viúvo
774;960;Viúvo
775;302;Viúvo
777;194;Viúvo
787;1000;Viúvo
791;590;Viúvo
794;164;Viúvo
795;979;Viúvo
798;180;Viúvo
807;5;Viúvo
809;479;Viúvo
823;652;Viúvo
831;282;Viúvo
838;501;Viúvo
841;971;Viúvo
842;984;Viúvo
843;93;Viúvo
844;179;Viúvo
847;870;Viúvo
849;585;Viúvo
866;458;Viúvo
871;14;Viúvo
874;855;Viúvo
876;188;Viúvo
881;64;Viúvo
886;453;Viúvo
888;568;Viúvo
897;291;Viúvo
901;776;Viúvo
903;694;Viúvo
916;146;Viúvo
923;643;Viúvo
926;764;Viúvo
930;402;Viúvo
934;87;Viúvo
935;265;Viúvo
938;90;Viúvo
950;599;Viúvo
954;332;Viúvo
955;41;Viúvo
956;128;Viúvo
964;78;Viúvo
967;559;Viúvo
971;906;Viúvo
975;408;Viúvo
982;640;Viúvo
984;134;Viúvo
989;823;Viúvo
992;628;Viúvo
993;834;Viúvo
995;45;Viúvo
997;853;Viúvo
