ED;ID;Sobrenome;Prox.Sobrenome
50;779;Chandler;0
69;787;Chaney;0
113;165;Charles;0
814;111;Chase;997
997;853;Chase;0
817;637;Chavez;963
963;372;Chavez;0
818;731;Chen;0
812;939;Cherry;0
393;353;Christensen;0
32;432;Christian;152
152;249;Christian;0
437;263;Church;537
537;149;Church;0
1;657;Clark;0
168;814;Clarke;0
475;887;Clay;575
575;478;Clay;790
790;773;Clay;0
78;210;Clayton;372
372;969;Clayton;394
394;189;Clayton;0
101;775;Clements;637
637;115;Clements;0
721;504;Cleveland;0
762;404;Cline;0
21;106;Cobb;496
496;699;Cobb;596
596;824;Cobb;716
716;526;Cobb;0
46;74;Coffey;736
736;989;Coffey;0
934;87;Cole;0
291;325;Combs;0
424;81;Conley;524
524;600;Conley;0
768;244;Conner;0
914;6;Conrad;0
755;561;Contreras;0
49;171;Conway;80
80;998;Conway;125
125;540;Conway;0
41;385;Cook;0
36;382;Cooley;702
702;11;Cooley;0
943;450;Copeland;0
266;104;Cox;0
638;765;Craft;0
490;231;Craig;590
590;586;Craig;912
912;880;Craig;0
376;609;Crane;439
439;907;Crane;539
539;708;Crane;0
190;820;Crawford;0
835;704;Crosby;904
904;69;Crosby;0
815;182;Cruz;0
261;750;Curry;0
791;590;Daniel;0
317;370;Daniels;0
630;737;Daugherty;706
706;469;Daugherty;0
675;129;Davenport;0
689;267;Davis;0
259;76;Delgado;471
471;895;Delgado;571
571;83;Delgado;0
283;292;Dennis;310
310;3;Dennis;0
244;958;Diaz;0
346;897;Dickson;0
175;183;Dixon;796
796;802;Dixon;0
16;72;Dodson;0
172;856;Donaldson;955
955;41;Donaldson;0
328;620;Doyle;0
87;697;Drake;0
377;587;Dudley;0
309;712;Duffy;673
673;153;Duffy;0
177;812;Duke;0
100;931;Eaton;0
479;499;Elliott;579
579;789;Elliott;767
767;552;Elliott;0
427;942;Ellis;527
527;474;Ellis;0
858;449;Emerson;919
919;401;Emerson;0
278;426;England;886
886;453;England;0
693;241;English;838
838;501;English;0
752;951;Espinoza;0
17;88;Estes;883
883;359;Estes;0
105;811;Estrada;173
173;755;Estrada;482
482;918;Estrada;582
582;702;Estrada;0
99;323;Ewing;602
602;387;Ewing;0
79;815;Farmer;324
324;595;Farmer;0
986;905;Farrell;0
741;191;Fields;0
705;564;Figueroa;0
832;959;Finch;0
995;45;Fischer;0
114;204;Fisher;133
133;218;Fisher;0
56;437;Fitzgerald;849
849;585;Fitzgerald;0
609;202;Fleming;928
928;530;Fleming;0
420;510;Fletcher;520
520;457;Fletcher;734
734;229;Fletcher;0
456;484;Flores;556
556;270;Flores;0
245;436;Flowers;660
660;902;Flowers;0
200;167;Floyd;229
229;689;Floyd;0
359;681;Forbes;0
830;952;Foreman;0
769;374;Fowler;0
350;941;Fox;783
783;95;Fox;0
969;376;Francis;0
965;972;Franks;0
313;425;Frederick;425
425;962;Frederick;525
525;970;Frederick;656
656;208;Frederick;868
868;993;Frederick;918
918;32;Frederick;0
267;911;Freeman;0
356;392;Frost;0
321;200;Fry;0
42;538;Frye;0
436;251;Fuentes;536
536;531;Fuentes;974
974;281;Fuentes;0
23;527;Fulton;0
15;130;Gaines;112
112;550;Gaines;0
335;800;Gallagher;0
416;348;Galloway;516
516;77;Galloway;971
971;906;Galloway;0
304;56;Gamble;0
271;213;Garrison;0
129;973;Garza;929
929;782;Garza;0
181;717;Gates;712
712;310;Gates;0
66;519;Gibbs;389
389;309;Gibbs;714
714;772;Gibbs;925
925;400;Gibbs;0
647;303;Giles;0
804;439;Gill;913
913;224;Gill;0
421;24;Gillespie;521
521;630;Gillespie;0
318;656;Gilliam;0
26;879;Glass;0
30;459;Glenn;429
429;421;Glenn;529
529;572;Glenn;962
962;768;Glenn;0
323;608;Glover;0
45;553;Gomez;0
434;368;Gonzales;534
534;692;Gonzales;729
729;547;Gonzales;939
939;235;Gonzales;0
18;371;Gonzalez;909
909;763;Gonzalez;0
364;412;Good;808
808;757;Good;0
485;433;Gordon;585
585;521;Gordon;0
926;764;Gould;0
698;22;Graham;930
930;402;Graham;0
380;953;Grant;0
633;614;Greene;0
192;350;Greer;836
836;554;Greer;0
138;67;Gregory;154
154;885;Gregory;0
108;96;Griffith;0
284;37;Grimes;0
448;842;Gross;548
548;825;Gross;0
603;682;Guy;0
373;848;Guzman;932
932;900;Guzman;0
794;164;Haley;0
93;304;Hall;816
816;397;Hall;0
972;589;Hamilton;0
327;854;Hampton;827
827;648;Hampton;0
277;40;Hancock;0
157;557;Haney;0
780;195;Hanson;0
38;216;Hardin;854
854;903;Hardin;0
20;676;Hardy;144
144;658;Hardy;382
382;987;Hardy;438
438;709;Hardy;538
538;311;Hardy;0
798;180;Harmon;0
692;514;Harrell;0
952;933;Harrison;0
287;287;Hartman;487
487;440;Hartman;587
587;988;Hartman;760
760;472;Hartman;813
813;133;Hartman;0
199;664;Hatfield;0
110;935;Haynes;345
345;123;Haynes;0
227;555;Hays;489
489;203;Hays;589
589;833;Hays;0
707;759;Head;773
773;256;Head;951
951;467;Head;0
465;232;Hebert;565
565;591;Hebert;0
639;112;Henderson;0
34;395;Hendrix;0
85;516;Hernandez;0
187;378;Herrera;679
679;159;Herrera;785
785;828;Herrera;0
250;771;Herring;0
981;729;Hess;0
985;201;Hester;0
878;339;Hewitt;0
98;410;Hicks;0
2;335;Higgins;387
387;338;Higgins;871
871;14;Higgins;0
947;476;Hines;957
957;721;Hines;0
495;51;Hinton;595
595;416;Hinton;0
89;566;Hobbs;0
73;320;Hodges;256
256;351;Hodges;681
681;362;Hodges;792
792;257;Hodges;0
92;135;Hogan;841
841;971;Hogan;0
462;340;Holden;562
562;784;Holden;833
833;570;Holden;0
339;345;Holland;777
777;194;Holland;821
821;803;Holland;0
294;857;Holloway;0
737;761;Holman;0
735;831;Hood;758
758;716;Hood;0
360;245;Hooper;626
626;496;Hooper;0
613;677;Hoover;0
894;556;Hopper;0
901;776;Horne;0
265;579;Horton;390
390;160;Horton;0
140;943;Howell;419
419;269;Howell;519
519;119;Howell;0
103;863;Hubbard;0
162;872;Huber;847
847;870;Huber;0
61;715;Huff;677
677;592;Huff;0
308;758;Huffman;0
285;407;Hughes;391
391;305;Hughes;0
153;723;Hull;0
169;143;Hunt;0
228;27;Hunter;230
230;742;Hunter;463
463;17;Hunter;563
563;845;Hunter;0
279;475;Hurley;0
733;319;Hutchinson;0
104;498;Ingram;0
431;874;Irwin;531
531;92;Irwin;0
232;238;Jackson;0
964;78;Jacobs;0
329;725;Jacobson;839
839;916;Jacobson;0
905;575;James;0
467;706;Jarvis;567
567;944;Jarvis;0
121;522;Jimenez;0
956;128;Johns;0
789;604;Johnson;0
480;866;Jordan;580
580;693;Jordan;802
802;186;Jordan;0
392;102;Joseph;0
726;393;Juarez;0
55;161;Kane;775
775;302;Kane;0
740;515;Kaufman;890
890;9;Kaufman;0
213;818;Keith;666
666;196;Keith;0
143;890;Keller;0
170;593;Kemp;708
708;867;Kemp;0
468;711;Kennedy;568
568;602;Kennedy;0
150;388;Kent;0
29;739;Kerr;0
331;297;Key;0
289;926;Kidd;0
432;285;King;532
532;982;King;0
248;719;Kinney;0
91;888;Kirkland;306
306;794;Kirkland;0
732;411;Klein;864
864;899;Klein;0
196;383;Kline;371
371;389;Kline;0
499;736;Knapp;599
599;685;Knapp;917
917;965;Knapp;0
352;175;Knight;461
461;534;Knight;561
561;35;Knight;0
776;288;Knox;0
58;684;Kramer;0
95;330;Lancaster;0
107;273;Lane;0
709;225;Lang;0
418;255;Langley;446
446;306;Langley;518
518;435;Langley;546
546;193;Langley;0
8;266;Lara;670
670;322;Lara;0
131;523;Larsen;212
212;18;Larsen;0
189;847;Larson;911
911;342;Larson;0
494;873;Lawson;594
594;536;Lawson;0
923;643;Leach;0
94;788;Leblanc;931
931;176;Leblanc;0
855;876;Lewis;0
13;762;Lindsay;623
623;507;Lindsay;0
764;138;Lloyd;895
895;124;Lloyd;0
148;71;Logan;724
724;606;Logan;937
937;992;Logan;0
88;166;Lowe;0
7;653;Lowery;0
691;894;Luna;0
470;914;Macdonald;570
570;626;Macdonald;915
915;441;Macdonald;0
703;732;Mack;834
834;271;Mack;0
491;473;Maddox;591
591;307;Maddox;0
254;29;Malone;743
743;107;Malone;0
606;726;Manning;0
612;675;Marks;669
669;940;Marks;0
255;666;Marquez;0
269;740;Marsh;0
337;272;Marshall;0
645;492;Martinez;0
193;252;Mason;0
982;640;Mathews;0
102;629;Matthews;961
961;1;Matthews;0
483;454;Maxwell;583
583;796;Maxwell;933
933;451;Maxwell;0
662;116;May;823
823;652;May;0
316;924;Mayer;0
77;751;Maynard;634
634;949;Maynard;873
873;665;Maynard;0
62;985;Mays;383
383;919;Mays;0
683;573;Mcbride;875
875;434;Mcbride;920
920;968;Mcbride;0
856;980;Mccall;999
999;220;Mccall;0
223;921;Mccarthy;292
292;509;Mccarthy;344
344;206;Mccarthy;699
699;452;Mccarthy;763
763;317;Mccarthy;787
787;1000;Mccarthy;874
874;855;Mccarthy;0
202;355;Mccarty;0
141;105;Mcclain;877
877;837;Mcclain;0
48;868;Mcconnell;0
235;97;Mccormick;240
240;601;Mccormick;898
898;801;Mccormick;0
865;997;Mccoy;0
867;2;Mccray;0
799;227;Mcdonald;0
243;477;Mcdowell;0
870;791;Mcfadden;0
220;85;Mcgowan;0
361;108;Mcguire;722
722;308;Mcguire;0
619;999;Mckay;0
90;413;Mckee;365
365;634;Mckee;0
784;347;Mckenzie;845
845;8;Mckenzie;0
748;642;Mcknight;0
186;80;Mclean;0
123;79;Mcmillan;216
216;505;Mcmillan;819
819;125;Mcmillan;0
412;981;Meadows;512
512;486;Meadows;885
885;840;Meadows;0
616;20;Medina;0
258;445;Melendez;0
422;363;Melton;522
522;733;Melton;0
179;329;Mendez;0
57;597;Mendoza;142
142;584;Mendoza;728
728;483;Mendoza;0
704;613;Mercado;0
273;7;Mercer;945
945;99;Mercer;0
731;639;Merrill;772
772;300;Merrill;843
843;93;Merrill;0
625;524;Merritt;0
771;360;Meyer;0
366;690;Meyers;367
367;89;Meyers;0
322;865;Michael;655
655;744;Michael;0
182;43;Miller;641
641;667;Miller;0
624;520;Mills;0
300;44;Mitchell;343
343;118;Mitchell;0
233;66;Molina;0
452;367;Monroe;552
552;207;Monroe;620
620;977;Monroe;0
353;930;Moody;0
149;156;Moon;0
782;264;Moore;0
297;864;Moran;398
398;62;Moran;674
674;488;Moran;0
713;508;Morrow;793
793;929;Morrow;0
252;448;Morse;807
807;5;Morse;0
134;594;Morton;0
998;882;Moses;0
234;381;Mosley;0
27;730;Mueller;953
953;463;Mueller;0
902;100;Mullins;0
224;649;Munoz;0
653;936;Myers;0
659;438;Nash;0
251;430;Navarro;840
840;283;Navarro;0
311;364;Nelson;635
635;136;Nelson;0
160;230;Newman;0
749;25;Newton;0
325;994;Nguyen;0
370;574;Nichols;622
622;805;Nichols;0
315;91;Nicholson;825
825;239;Nicholson;0
116;113;Nieves;0
910;103;Noel;0
715;753;Nolan;0
861;162;Norris;891
891;293;Norris;0
617;127;Nunez;667
667;114;Nunez;876
876;188;Nunez;0
853;679;Ochoa;0
500;844;Oconnor;600
600;535;Oconnor;648
648;198;Oconnor;0
423;487;Olsen;523
523;532;Olsen;739
739;211;Olsen;0
299;533;Oneal;0
146;746;Oneil;688
688;30;Oneil;690
690;790;Oneil;860
860;316;Oneil;0
184;366;Oneill;967
967;559;Oneill;0
191;950;Ortega;385
385;957;Ortega;0
992;628;Ortiz;0
614;607;Owens;786
786;780;Owens;0
493;710;Pacheco;593
593;603;Pacheco;0
887;65;Padilla;0
64;517;Page;176
176;851;Page;417
417;670;Page;517
517;405;Page;750
750;576;Page;0
701;797;Palmer;0
738;549;Parker;805
805;728;Parker;0
687;623;Parrish;0
362;946;Parsons;435
435;632;Parsons;535
535;651;Parsons;0
115;431;Pate;921
921;571;Pate;0
24;529;Patel;341
341;610;Patel;0
282;49;Patrick;0
163;237;Patton;0
167;398;Payne;700
700;727;Payne;0
477;343;Peck;497
497;365;Peck;577
577;781;Peck;597
597;482;Peck;650
650;289;Peck;0
374;669;Pennington;966
966;228;Pennington;0
363;525;Perkins;0
70;34;Perry;201
201;891;Perry;710
710;158;Perry;0
486;583;Peters;586
586;537;Peters;0
975;408;Petersen;0
33;253;Peterson;0
725;36;Phelps;0
406;908;Phillips;506
506;250;Phillips;0
852;26;Pittman;0
488;415;Pollard;588
588;346;Pollard;685
685;298;Pollard;0
605;23;Poole;0
218;672;Pope;658
658;59;Pope;0
440;925;Porter;540
540;713;Porter;0
37;296;Potter;82
82;248;Potter;340
340;379;Potter;0
754;48;Potts;0
52;688;Powell;0
723;31;Powers;0
492;336;Preston;592
592;217;Preston;720
720;333;Preston;0
210;816;Price;0
183;173;Prince;0
298;983;Puckett;0
194;461;Pugh;0
882;558;Ramirez;0
314;278;Randall;330
330;493;Randall;0
164;830;Randolph;0
97;219;Ratliff;0
727;284;Ray;0
197;777;Reese;611
611;258;Reese;908
908;414;Reese;0
457;528;Reeves;557
557;184;Reeves;0
379;502;Reid;0
640;491;Reyes;0
983;246;Reynolds;0
694;399;Rhodes;744
744;70;Rhodes;0
831;282;Richardson;0
711;624;Richmond;0
174;625;Riddle;0
333;948;Rios;0
466;898;Rivers;566
566;177;Rivers;0
444;170;Robbins;544
544;386;Robbins;0
342;178;Robertson;0
128;920;Robles;0
195;724;Rocha;0
800;795;Rodgers;0
302;375;Rodriguez;481
481;19;Rodriguez;581
581;846;Rodriguez;0
761;462;Rodriquez;0
859;142;Rojas;0
47;260;Romero;0
935;265;Rosales;0
68;75;Rose;899
899;349;Rose;0
824;617;Ross;863
863;466;Ross;0
290;621;Roth;663
663;836;Roth;774
774;960;Roth;946
946;966;Roth;0
219;577;Rowe;476
476;809;Rowe;576
576;163;Rowe;0
207;145;Rush;0
262;422;Russo;0
357;760;Rutledge;0
730;190;Ryan;0
126;396;Salazar;0
156;327;Salinas;970
970;859;Salinas;0
788;394;Sanders;884
884;786;Sanders;0
9;546;Sanford;0
268;638;Santana;0
67;38;Santos;136
136;627;Santos;188
188;934;Santos;0
295;172;Sargent;747
747;596;Sargent;757
757;262;Sargent;0
44;57;Saunders;381
381;280;Saunders;478
478;151;Saunders;578
578;543;Saunders;632
632;548;Saunders;0
43;406;Savage;684
684;42;Savage;0
106;631;Sawyer;247
247;197;Sawyer;0
137;893;Schroeder;217
217;318;Schroeder;644
644;884;Schroeder;668
668;560;Schroeder;0
74;275;Schultz;180
180;967;Schultz;0
942;644;Scott;996
996;954;Scott;0
336;518;Sears;0
22;223;Sellers;0
326;391;Serrano;719
719;674;Serrano;0
441;141;Sexton;541
541;497;Sexton;0
215;582;Shaffer;0
204;63;Shannon;682
682;354;Shannon;811
811;886;Shannon;0
607;513;Sharp;0
810;641;Sharpe;0
51;835;Shaw;0
111;373;Shelton;203
203;722;Shelton;0
280;875;Shepherd;938
938;90;Shepherd;0
795;979;Sheppard;829
829;214;Sheppard;0
751;154;Sherman;0
6;691;Shields;0
445;277;Short;545
545;47;Short;0
96;234;Simmons;0
214;169;Sims;610
610;714;Sims;0
109;720;Singleton;409
409;878;Singleton;509
509;843;Singleton;0
746;562;Skinner;0
208;110;Slater;0
211;512;Snider;618
618;54;Snider;0
927;315;Snow;0
454;122;Soto;554
554;598;Soto;0
236;423;Sparks;0
209;778;Spence;0
75;703;Spencer;0
960;827;Stafford;0
225;673;Stanley;0
28;61;Stark;936
936;901;Stark;0
260;819;Stephens;458
458;964;Stephens;558
558;754;Stephens;907
907;465;Stephens;0
312;331;Stevens;0
185;456;Stewart;0
453;168;Stout;553
553;615;Stout;0
386;743;Strickland;428
428;877;Strickland;528
528;978;Strickland;0
400;205;Strong;459
459;12;Strong;559
559;15;Strong;994
994;990;Strong;0
205;645;Stuart;0
119;39;Suarez;0
643;975;Sweeney;797
797;909;Sweeney;916
916;146;Sweeney;0
608;986;Talley;0
307;747;Tate;0
351;212;Taylor;0
222;565;Terrell;846
846;581;Terrell;0
246;209;Thomas;0
10;494;Thornton;0
39;481;Tillman;676
676;580;Tillman;0
601;356;Torres;717
717;377;Torres;826
826;187;Torres;0
3;896;Townsend;231
231;910;Townsend;0
778;792;Tran;0
979;860;Travis;0
430;324;Trevino;530
530;155;Trevino;0
31;808;Tucker;900
900;418;Tucker;0
155;633;Tyler;678
678;242;Tyler;0
872;181;Tyson;0
118;671;Underwood;442
442;912;Underwood;542
542;661;Underwood;0
828;485;Valdez;0
221;259;Valencia;296
296;84;Valencia;0
130;131;Vargas;0
842;984;Vasquez;0
405;741;Vaughan;505
505;752;Vaughan;0
35;660;Vazquez;0
84;539;Vega;0
993;834;Velazquez;0
443;313;Villarreal;543
543;58;Villarreal;0
242;221;Vinson;0
473;541;Wade;573
573;858;Wade;753
753;94;Wade;0
395;616;Wagner;0
770;268;Walker;0
139;963;Wall;0
19;276;Walsh;0
63;995;Walter;889
889;955;Walter;0
83;321;Walters;0
332;799;Warner;837
837;274;Warner;0
401;109;Warren;501
501;290;Warren;990
990;4;Warren;0
766;822;Washington;0
348;403;Watson;636
636;659;Watson;0
124;420;Watts;0
949;352;Weaver;0
320;635;Weber;399
399;734;Weber;822
822;444;Weber;0
178;793;Webster;0
414;344;Welch;514
514;813;Welch;664
664;766;Welch;0
226;774;West;293
293;636;West;0
275;646;Wheeler;349
349;770;Wheeler;844
844;179;Wheeler;976
976;261;Wheeler;0
338;384;Whitaker;0
59;73;Whitehead;0
132;52;Whitley;0
498;10;Whitney;598
598;542;Whitney;718
718;503;Whitney;0
253;956;Wilcox;0
464;144;Wilder;564
564;33;Wilder;0
305;279;Wiley;0
850;299;Wilkins;0
857;686;William;0
410;841;Williamson;510
510;417;Williamson;1000
1000;511;Williamson;0
627;60;Winters;984
984;134;Winters;0
76;767;Wise;924
924;369;Wise;989
989;823;Wise;0
388;506;Wolf;0
686;783;Wong;0
263;769;Wood;0
803;68;Woodard;0
238;443;Woods;888
888;568;Woods;0
60;850;Woodward;0
941;174;Wright;0
384;871;Wyatt;851
851;804;Wyatt;0
652;683;Wynn;0
303;650;Yang;651
651;301;Yang;657
657;892;Yang;0
53;13;Yates;72
72;53;Yates;0
944;563;Young;0
81;424;Zamora;171
171;647;Zamora;0
